ISEE - Carteira Mai. a Ago. 2025
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
ABEV3;AMBEV S/A;ON;1.060.153.874;1,858;
AERI3;AERIS;ON      NM;62.660.558;0,041;
ALOS3;ALLOS;ON  ED  NM;754.147.583;2,017;
AMBP3;AMBIPAR;ON      NM;65.399.646;0,974;
ASAI3;ASSAI;ON  ED  NM;1.780.758.654;2,027;
AURE3;AUREN;ON  ED  NM;573.221.142;0,640;
AZUL4;AZUL;PN      N2;1.570.148.906;0,286;
AZZA3;AZZAS 2154;ON      NM;241.965.855;0,954;
B3SA3;B3;ON      NM;1.414.348.196;2,336;
BBAS3;BRASIL;ON      NM;650.828.435;2,334;
BBDC4;BRADESCO;PN  EJ  N1;1.415.153.355;2,358;
BEEF3;MINERVA;ON  ES  NM;767.109.529;0,572;
BHIA3;CASAS BAHIA;ON      NM;168.042.899;0,113;
BPAC11;BTGP BANCO;UNT     N2;459.958.736;2,155;
BPAN4;BANCO PAN;PN      N1;505.883.645;0,471;
BRFS3;BRF SA;ON      NM;718.783.614;2,004;
CAML3;CAMIL;ON      NM;170.253.898;0,092;
CBAV3;CBA;ON      NM;361.867.605;0,181;
CEAB3;CEA MODAS;ON  ED  NM;179.703.325;0,295;
CMIG4;CEMIG;PN  ED  N1;1.747.774.054;2,241;
COGN3;COGNA ON;ON  ED  NM;3.315.785.340;1,074;
CPFE3;CPFL ENERGIA;ON  ED  NM;332.431.044;1,570;
CPLE6;COPEL;PNB ED  N2;1.630.597.089;2,378;
CRFB3;CARREFOUR BR;ON      NM;1.215.633.484;1,289;
CSAN3;COSAN;ON      NM;2.054.560.072;2,043;
CSMG3;COPASA;ON      NM;333.703.516;0,868;
CYRE3;CYRELA REALT;ON  ED  NM;455.403.165;1,385;
DXCO3;DEXCO;ON      NM;534.307.798;0,371;
ECOR3;ECORODOVIAS;ON      NM;583.041.148;0,486;
EGIE3;ENGIE BRASIL;ON      NM;451.973.395;2,303;
ELET3;ELETROBRAS;ON  ED  N1;385.383.495;2,128;
ENEV3;ENEVA;ON      NM;1.179.796.910;1,955;
EQTL3;EQUATORIAL;ON  EDJ NM;510.745.167;2,276;
FLRY3;FLEURY;ON      NM;807.436.706;1,298;
GFSA3;GAFISA;ON      NM;212.692.264;0,035;
GUAR3;GUARARAPES;ON      NM;145.051.477;0,145;
HBSA3;HIDROVIAS;ON      NM;2.407.135.771;0,911;
HYPE3;HYPERA;ON      NM;585.792.126;1,670;
IGTI11;IGUATEMI S.A;UNT     N1;351.439.351;0,912;
ISAE4;ISA ENERGIA;PN      N1;700.889.584;2,122;
ITSA4;ITAUSA;PN      N1;1.745.576.547;2,281;
ITUB4;ITAUUNIBANCO;PN  EJ  N1;525.600.889;2,314;
JSLG3;JSL;ON      NM;111.828.156;0,093;
KLBN11;KLABIN S/A;UNT     N2;997.630.870;2,323;
LJQQ3;QUERO-QUERO;ON      NM;346.188.475;0,122;
LREN3;LOJAS RENNER;ON      NM;1.362.877.568;2,517;
MDIA3;M.DIASBRANCO;ON  ED  NM;117.536.819;0,372;
MGLU3;MAGAZ LUIZA;ON  ED  NM;625.860.000;0,725;
MOTV3;MOTIVA SA;ON      NM;1.323.117.906;2,296;
MOVI3;MOVIDA;ON  ED  NM;215.671.076;0,191;
MRVE3;MRV;ON      NM;664.854.858;0,485;
MTRE3;MITRE REALTY;ON      NM;101.236.470;0,045;
MYPK3;IOCHP-MAXION;ON      NM;232.888.944;0,364;
NEOE3;NEOENERGIA;ON      NM;345.378.221;0,984;
NTCO3;GRUPO NATURA;ON      NM;1.497.566.845;1,773;
ODPV3;ODONTOPREV;ON      NM;446.602.201;0,607;
OPCT3;OCEANPACT;ON      NM;224.356.841;0,156;
PCAR3;P.ACUCAR-CBD;ON      NM;816.656.322;0,395;
PORT3;WILSON SONS;ON      NM;328.821.614;0,694;
PSSA3;PORTO SEGURO;ON      NM;323.273.042;1,754;
PTBL3;PORTOBELLO;ON      NM;87.181.736;0,046;
RADL3;RAIADROGASIL;ON  ED  NM;933.036.792;2,316;
RAIL3;RUMO S.A.;ON      NM;882.707.057;2,111;
RAIZ4;RAIZEN;PN      N2;2.143.973.383;0,492;
RANI3;IRANI;ON  ED  NM;187.994.490;0,185;
RDOR3;REDE D OR;ON      NM;490.452.338;1,945;
SANB11;SANTANDER BR;UNT;631.443.714;2,262;
SAPR11;SANEPAR;UNT     N2;356.066.161;1,319;
SBSP3;SABESP;ON  EDJ NM;127.103.124;1,798;
SIMH3;SIMPAR;ON      NM;402.003.085;0,262;
SLCE3;SLC AGRICOLA;ON      NM;343.993.117;0,855;
SRNA3;SERENA;ON      NM;739.529.800;0,930;
STBP3;SANTOS BRP;ON      NM;725.226.735;1,218;
TIMS3;TIM;ON      NM;1.076.507.858;2,504;
TTEN3;3TENTOS;ON      NM;199.103.924;0,388;
UGPA3;ULTRAPAR;ON      NM;809.423.387;1,781;
USIM5;USIMINAS;PNA     N1;912.265.421;0,625;
VAMO3;VAMOS;ON      NM;859.005.977;0,538;
VBBR3;VIBRA;ON      NM;860.525.355;2,010;
VIVT3;TELEF BRASIL;ON;634.796.441;2,155;
WEGE3;WEG;ON      NM;316.168.570;1,743;
YDUQ3;YDUQS PART;ON  ED  NM;460.818.016;0,857;
Quantidade Teórica Total;;;59.394.812.556;100,000
Redutor;;;220.640.743,22392426
