;;;;;;;
;AÇÕES;;;;;FUNDOS IMOBILIÁRIOS ;
;;;;;;;
;;;;;;;
;codigo_ativo;;;;;codigo_ativo;
;BBAS3;;;;;KLBN11;
;;;;;;;
Tipo;Valor (média anual);Fonte;;;Tipo;Valor (média anual);Fonte
Nome;Banco do Brasil S.A.;B3;;;Nome;KLABIN S.A.;B3
CNPJ;00.000.000/0001-91;B3;;;CNPJ;89.637.490/0001-45;B3
Setor;Bancos;B3;;;Setor;Papel e Celulose;B3
Preço atual; R$ 22,89 ;B3 ;;;Preço atual; R$ 18,27 ;B3 
P/L;7,95;Fundamentus;;;P/L;7,95;Fundamentus
ROE;8,71%;Fundamentus;;;ROE;20,50%;Fundamentus
Dívida/EBITDA;1,5;Fundamentus;;;Dívida/EBITDA;7,44 Bilhões;Fundamentus
Dividend Yield;8,00%;Investidor10;;;Dividend Yield ;6,02%;Investidor10
Proventos mensal;0,42470527;Investidor10;;;Proventos mensal;0,25094461;Investidor10
Dividend Yield Histórico;7,49%;Investidor10;;;Dividend Yield Histórico;3,64%;Investidor10
;;;;;;;
;;;;;;;
;codigo_ativo;;;;;codigo_ativo;
;BBDC4;;;;;CPTS11;
;;;;;;;
Tipo;Valor (média anual);Fonte;;;Tipo;Valor (média anual);Fonte
Nome;Banco Bradesco;B3;;;Nome;Capitania Securities II;B3
CNPJ;60.746.948/0001-12;B3;;;CNPJ;18.979.895/0001-13;B3
Setor;Bancos;B3;;;Setor;Títulos e Valores Mobiliários;B3
Preço atual; R$ 18,73 ;B3;;;Preço atual; R$ 7,54 ;B3 
P/L;9,12;Fundamentus;;;P/VP;0,85;Fundamentus
ROE;12,14%;Fundamentus;;;ROE;N/A;Fundamentus
Dívida/EBITDA;N/A;Fundamentus;;;Dívida/EBITDA;N/A;Fundamentus
Dividend Yield ;7,40%;Investidor10;;;Dividend Yield ;12,81%;Investidor10
Proventos mensal;0,01897481;Investidor10;;;Proventos mensal;0,09;Investidor10
Dividend Yield Histórico;5,34%;Investidor10;;;Dividend Yield Histórico;11,63%;Investidor10
;;;;;;;
;;;;;;;
;;;;;;;
;codigo_ativo;;;;;codigo_ativo;
;PETR4;;;;;MXRF11;
;;;;;;;
Tipo;Valor (média anual);Fonte;;;Tipo;Valor (média anual);Fonte
Nome;PETROBRAS;B3;;;Nome;Maxi Renda;B3
CNPJ;33.000.167/0001-01;B3;;;CNPJ;97.521.225/0001-25;B3
