ISEE - 1/1/2014 12:00:00 AM 12/31/2025 12:00:00 AM
Mês;Ano;Valor

1;2014;2.309,82
2;2014;2.260,65
3;2014;2.391,07
4;2014;2.445,83
5;2014;2.404,02
6;2014;2.511,93
7;2014;2.569,62
8;2014;2.699,20
9;2014;2.517,01
10;2014;2.549,35
11;2014;2.588,05
12;2014;2.431,59
1;2015;2.291,61
2;2015;2.486,91
3;2015;2.433,79
4;2015;2.601,48
5;2015;2.487,05
6;2015;2.478,85
7;2015;2.465,34
8;2015;2.289,98
9;2015;2.227,62
10;2015;2.243,43
11;2015;2.169,52
12;2015;2.118,01
1;2016;2.011,55
2;2016;2.070,75
3;2016;2.217,11
4;2016;2.255,86
5;2016;2.118,84
6;2016;2.203,71
7;2016;2.483,90
8;2016;2.496,41
9;2016;2.482,57
10;2016;2.636,71
11;2016;2.445,55
12;2016;2.410,05
1;2017;2.463,09
2;2017;2.533,88
3;2017;2.517,57
4;2017;2.570,55
5;2017;2.518,77
6;2017;2.483,31
7;2017;2.574,60
8;2017;2.738,05
9;2017;2.866,26
10;2017;2.872,29
11;2017;2.697,12
12;2017;2.829,50
1;2018;3.051,89
2;2018;2.964,75
3;2018;2.985,73
4;2018;3.000,39
5;2018;2.761,80
6;2018;2.713,38
7;2018;2.801,71
8;2018;2.747,73
9;2018;2.694,22
10;2018;2.973,73
11;2018;3.097,42
12;2018;3.108,65
1;2019;3.394,47
2;2019;3.274,65
3;2019;3.145,50
4;2019;3.139,54
5;2019;3.217,94
6;2019;3.308,60
7;2019;3.433,77
8;2019;3.509,56
9;2019;3.581,13
10;2019;3.566,05
11;2019;3.748,84
12;2019;4.140,26
1;2020;4.182,17
2;2020;3.941,63
3;2020;2.739,22
4;2020;3.084,64
5;2020;3.350,37
6;2020;3.569,77
7;2020;3.956,81
8;2020;3.801,06
9;2020;3.594,96
10;2020;3.559,31
11;2020;3.881,22
12;2020;4.153,31
1;2021;4.009,90
2;2021;3.840,90
3;2021;3.999,96
4;2021;3.961,88
5;2021;4.176,00
6;2021;4.229,45
7;2021;4.013,12
8;2021;4.017,02
9;2021;3.884,01
10;2021;3.632,21
11;2021;3.607,97
12;2021;3.670,50
1;2022;3.812,17
2;2022;3.681,58
3;2022;3.957,14
4;2022;3.554,55
5;2022;3.625,99
6;2022;3.178,09
7;2022;3.317,98
8;2022;3.516,17
9;2022;3.427,00
10;2022;3.689,06
11;2022;3.302,35
12;2022;3.158,00
1;2023;3.229,13
2;2023;2.965,53
3;2023;2.929,75
4;2023;3.024,42
5;2023;3.297,32
6;2023;3.593,96
7;2023;3.639,72
8;2023;3.364,88
9;2023;3.303,06
10;2023;3.084,68
11;2023;3.549,35
12;2023;3.763,69
1;2024;3.576,94
2;2024;3.648,05
3;2024;3.692,36
4;2024;3.470,13
5;2024;3.345,03
6;2024;3.381,95
7;2024;3.477,64
8;2024;3.686,11
9;2024;3.589,38
10;2024;3.500,52
11;2024;3.304,45
12;2024;3.080,77
1;2025;3.256,94
2;2025;3.161,89
3;2025;3.310,33
4;2025;3.657,33
5;2025;3.797,89
6;2025;3.867,19
7;2025;3.589,26
8;2025;3.790,17
