ISEE - Prévia Set. a Dez. 2025
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
TTEN3;3TENTOS;ON      NM;199.036.902;0,357;
AERI3;AERIS;ON      NM;64.864.999;0,033;
ALOS3;ALLOS;ON  ED  NM;687.598.666;1,985;
ABEV3;AMBEV S/A;ON;1.268.861.577;1,913;
AMBP3;AMBIPAR;ON      NM;659.419.630;1,071;
ASAI3;ASSAI;ON      NM;1.617.584.402;2,015;
AURE3;AUREN;ON      NM;562.807.946;0,744;
AZZA3;AZZAS 2154;ON      NM;238.518.541;1,022;
B3SA3;B3;ON      NM;1.480.109.267;2,327;
BPAN4;BANCO PAN;PN      N1;478.374.670;0,460;
BBDC4;BRADESCO;PN      N1;1.165.343.391;2,376;
BBAS3;BRASIL;ON      NM;953.003.736;2,439;
BRKM5;BRASKEM;PNA     N1;469.997.646;0,544;
BRFS3;BRF SA;ON      NM;822.705.579;2,033;
BPAC11;BTGP BANCO;UNT     N2;391.557.905;2,139;
CAML3;CAMIL;ON      NM;170.012.028;0,098;
BHIA3;CASAS BAHIA;ON      NM;167.846.158;0,068;
CBAV3;CBA;ON      NM;361.258.518;0,152;
CEAB3;CEA MODAS;ON      NM;244.709.097;0,503;
CMIG4;CEMIG;PN      N1;1.716.807.542;2,358;
COGN3;COGNA ON;ON      NM;3.201.395.438;1,156;
CSMG3;COPASA;ON      NM;333.208.396;1,204;
CPLE6;COPEL;PNB     N2;1.527.752.924;2,299;
CSAN3;COSAN;ON      NM;2.029.625.867;1,405;
CPFE3;CPFL ENERGIA;ON      NM;331.896.138;1,619;
CYRE3;CYRELA REALT;ON      NM;452.709.214;1,517;
DXCO3;DEXCO;ON      NM;531.561.607;0,373;
ECOR3;ECORODOVIAS;ON      NM;581.553.521;0,552;
ELET3;ELETROBRAS;ON      N1;381.922.844;2,061;
ENEV3;ENEVA;ON      NM;1.049.794.572;1,963;
EGIE3;ENGIE BRASIL;ON  ED  NM;451.205.978;2,219;
EQTL3;EQUATORIAL;ON      NM;494.363.180;2,224;
FLRY3;FLEURY;ON      NM;790.557.583;1,407;
GFSA3;GAFISA;ON      NM;19.679.649;0,033;
GUAR3;GUARARAPES;ON      NM;144.837.398;0,160;
HBSA3;HIDROVIAS;ON      NM;1.197.873.829;0,531;
HYPE3;HYPERA;ON      NM;518.942.293;1,542;
IGTI11;IGUATEMI S.A;UNT     N1;373.746.489;1,037;
MYPK3;IOCHP-MAXION;ON      NM;232.556.476;0,403;
RANI3;IRANI;ON      NM;176.737.850;0,173;
ISAE4;ISA ENERGIA;PN      N1;699.762.684;1,971;
ITSA4;ITAUSA;PN  EJ  N1;1.684.446.790;2,307;
ITUB4;ITAUUNIBANCO;PN  EJ  N1;494.509.413;2,305;
JSLG3;JSL;ON      NM;111.515.186;0,076;
KLBN11;KLABIN S/A;UNT     N2;1.017.786.150;2,320;
LREN3;LOJAS RENNER;ON      NM;1.242.015.436;2,464;
MDIA3;M.DIASBRANCO;ON  ED  NM;114.696.027;0,420;
MGLU3;MAGAZ LUIZA;ON      NM;628.265.062;0,560;
MRFG3;MARFRIG;ON      NM;333.357.217;0,945;
BEEF3;MINERVA;ON  ATZ NM;766.609.240;0,565;
MTRE3;MITRE REALTY;ON  ED  NM;110.621.593;0,049;
MOTV3;MOTIVA SA;ON      NM;1.254.299.967;2,187;
MOVI3;MOVIDA;ON      NM;215.336.424;0,191;
MRVE3;MRV;ON  ATZ NM;663.697.743;0,614;
NATU3;NATURA;ON      NM;1.484.186.392;1,672;
NEOE3;NEOENERGIA;ON      NM;345.779.773;1,163;
OPCT3;OCEANPACT;ON      NM;223.141.916;0,186;
ODPV3;ODONTOPREV;ON      NM;445.905.323;0,721;
PCAR3;P.ACUCAR-CBD;ON      NM;766.107.213;0,342;
PSSA3;PORTO SEGURO;ON      NM;272.466.932;1,740;
PTBL3;PORTOBELLO;ON      NM;79.216.343;0,040;
LJQQ3;QUERO-QUERO;ON      NM;345.000.704;0,108;
RADL3;RAIADROGASIL;ON      NM;998.832.195;2,308;
RAIZ4;RAIZEN;PN  ATZ N2;2.168.481.408;0,285;
RDOR3;REDE D OR;ON      NM;404.276.312;1,919;
RAIL3;RUMO S.A.;ON      NM;1.180.745.008;2,136;
SBSP3;SABESP;ON      NM;118.367.977;1,764;
SAPR11;SANEPAR;UNT     N2;355.502.181;1,493;
SANB11;SANTANDER BR;UNT;637.072.103;2,194;
STBP3;SANTOS BRP;ON      NM;724.057.087;1,277;
SRNA3;SERENA;ON      NM;765.925.013;1,154;
SIMH3;SIMPAR;ON      NM;387.091.208;0,234;
SLCE3;SLC AGRICOLA;ON      NM;349.510.500;0,755;
VIVT3;TELEF BRASIL;ON  EJ;606.048.545;2,564;
TIMS3;TIM;ON      NM;881.434.396;2,510;
UGPA3;ULTRAPAR;ON  ED  NM;783.943.798;1,795;
USIM5;USIMINAS;PNA     N1;811.509.050;0,424;
VAMO3;VAMOS;ON      NM;880.767.720;0,442;
VBBR3;VIBRA;ON      NM;698.130.271;2,005;
WEGE3;WEG;ON      NM;423.744.731;1,984;
PORT3;WILSON SONS;ON      NM;249.891.546;0,558;
YDUQ3;YDUQS PART;ON      NM;461.010.083;0,740;
Quantidade Teórica Total;;;55.727.404.106;100,000
Redutor;;;212.638.368,21559718
