ISEE - 2015 2025
Ano;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;Anual

2016;13,79;;;;;;;;;;2.410,05
2017;15,58;17,40;;;;;;;;;2.829,50
2018;13,64;13,57;9,87;;;;;;;;3.108,65
2019;18,24;19,77;20,96;33,19;;;;;;;4.140,26
2020;14,42;14,58;13,65;15,59;0,32;;;;;;4.153,31
2021;9,60;8,78;6,72;5,69;-5,84;-11,62;;;;;3.670,50
2022;5,87;4,61;2,22;0,39;-8,63;-12,80;-13,96;;;;3.158,00
2023;7,45;6,58;4,87;3,90;-2,36;-3,23;1,26;19,18;;;3.763,69
2024;4,25;3,12;1,22;-0,15;-5,74;-7,20;-5,67;-1,23;-18,14;;3.080,77
2025;5,99;5,16;3,72;2,87;-1,46;-1,81;0,81;6,27;0,35;23,03;3.790,17
