Data,Código,Nome,Preço Abertura,Preço Máximo,Preço Mínimo,Preço Médio,Preço Fechamento,Volume
20250102,HYPE3,HYPERA,17.87,18.09,17.63,17.83,17.83,4481907700
20250102,KEPL3,KEPLER WEBER,9.34,9.41,9.06,9.23,9.34,1219215100
20250102,MRFG3,MARFRIG,17.04,17.25,15.71,16.6,17.16,23932446500
20250102,BAZA3,AMAZONIA,86.99,86.99,84.15,85.42,84.15,24774400
20250102,ABEV3,AMBEV S/A,11.72,11.89,11.49,11.62,11.6,38833941400
20250102,CRPG6,CRISTAL,20.01,20.24,19.72,20.04,20.24,1603700
20250102,EMBR3,EMBRAER,56.5,57.98,56.39,57.55,57.8,37268510700
20250102,ITUB3,ITAUUNIBANCO,27.07,27.1,26.56,26.81,26.86,1462323400
20250102,ANIM3,ANIMA,1.59,1.61,1.53,1.56,1.57,1709132900
20250102,BRKM5,BRASKEM,11.55,12.17,11.45,11.91,11.97,4531449700
20250102,ESPA3,ESPACOLASER,0.74,0.74,0.71,0.72,0.73,12232500
20250102,LEVE3,METAL LEVE,27.42,27.6,26.51,26.75,26.51,1227716700
20250102,ECOR3,ECORODOVIAS,4.28,4.28,4.13,4.17,4.2,1408373200
20250102,BEEF3,MINERVA,5.1,5.1,4.8,4.89,4.8,7099761700
20250102,CAMB3,CAMBUCI,10.45,10.48,10.37,10.4,10.47,8946800
20250102,CCRO3,CCR SA,10.11,10.24,10.06,10.15,10.15,8824564000
20250102,CEBR6,CEB,17.19,17.2,16.89,17.14,17.2,21596500
20250102,BRFS3,BRF SA,25.16,25.22,24.52,24.86,24.8,16921228400
20250102,ENEV3,ENEVA,10.1,10.1,9.35,9.68,9.55,29115176100
20250102,ENJU3,ENJOEI,1.05,1.09,1.02,1.05,1.09,38524400
20250102,EQTL3,EQUATORIAL,27.39,27.39,26.59,26.84,26.72,28982797800
20250102,INEP3,INEPAR,1.38,1.45,1.36,1.39,1.44,1001000
20250102,JOPA3,JOSAPAR,21,21,21,21,21,630000
20250102,BMEB4,MERCANTIL,37.9,38.09,36.79,37.28,37.2,41763800
20250102,CVCB3,CVC BRASIL,1.39,1.54,1.36,1.47,1.5,5781642400
20250102,FICT3,FICTORALIMEN,2.84,3.44,2.71,3.12,3.3,32276300
20250102,OFSA3,OUROFINO S/A,17.12,17.6,16.05,17.43,17.56,39394200
20250102,CGAS5,COMGAS,120,122.01,118.55,120.72,121,15693900
20250102,CLSC4,CELESC,79.86,80,77.06,78.09,77.07,127292700
20250102,AURE3,AUREN,8.78,8.8,8.47,8.57,8.6,6536947400
20250102,BRSR3,BANRISUL,11.65,11.81,11.65,11.69,11.66,6551800
20250102,MILS3,MILLS,8.42,8.42,8.21,8.32,8.3,872536100
20250102,MOVI3,MOVIDA,3.49,3.6,3.39,3.52,3.57,1997796200
20250102,KLBN4,KLABIN S/A,4.55,4.58,4.51,4.54,4.52,582649300
20250102,ABCB4,ABC BRASIL,19.6,19.6,18.95,19.18,19.18,2058619100
20250102,CRPG5,CRISTAL,20,20,19.38,19.65,19.9,2555400
20250102,EMAE4,EMAE,42.29,42.29,40.01,41.1,41,1233000
20250102,GOAU4,GERDAU MET,10.25,10.26,10.02,10.1,10.11,12387725900
20250102,BBSE3,BBSEGURIDADE,36.18,36.42,35.89,36.2,36.42,12693288400
20250102,BRKM3,BRASKEM,12.24,12.75,12.03,12.34,12.42,11851600
20250102,CURY3,CURY S/A,17.47,17.64,17.08,17.4,17.49,3555313700
20250102,LAVV3,LAVVI,7.48,7.51,7.27,7.41,7.43,471035100
20250102,EALT4,ACO ALTONA,13.43,13.49,13.08,13.22,13.08,8596400
20250102,DESK3,DESKTOP,10.39,10.49,10.17,10.34,10.28,95667100
20250102,BPAC5,BTGP BANCO,7.1,7.17,7.07,7.08,7.08,1771300
20250102,CBAV3,CBA,4.64,4.66,4.51,4.58,4.52,2023982300
20250102,CEBR5,CEB,15.49,15.5,15.32,15.37,15.44,2152700
20250102,FLRY3,FLEURY,12.1,12.13,11.76,11.97,12.03,4434609300
20250102,CSNA3,SID NACIONAL,8.88,8.91,8.38,8.53,8.42,10075434600
20250102,ENGI4,ENERGISA,6.65,6.67,6.3,6.4,6.48,18836800
20250102,EQPA3,EQTL PARA,5.63,5.65,5.63,5.63,5.65,1804600
20250102,IGTI3,IGUATEMI S.A,2.04,2.13,2.04,2.05,2.13,26316600
20250102,IRBR3,IRBBRASIL RE,43,44.7,42.01,43.78,44.52,8883586100
20250102,BMEB3,MERCANTIL,31.01,31.03,31.01,31.02,31.03,3413100
20250102,BMKS3,BIC MONARK,325,339,321,329.47,337,560099
20250102,FHER3,FER HERINGER,6.04,6.36,5.76,5.94,5.88,13432100
20250102,ODPV3,ODONTOPREV,10.77,10.93,10.62,10.72,10.65,943266000
20250102,ORVR3,ORIZON,37.5,38.16,36.94,37.73,37.75,1252391800
20250102,CLSA3,CLEARSALE,9.94,9.94,9.78,9.82,9.87,1189872500
20250102,CMIN3,CSNMINERACAO,5.2,5.2,5,5.04,5.04,5383680400
20250102,AZUL4,AZUL,3.55,3.76,3.48,3.65,3.64,6861144500
20250102,DASA3,DASA,1.86,1.92,1.83,1.86,1.87,156877300
20250102,JALL3,JALLESMACHAD,4.65,4.67,4.51,4.56,4.56,261724100
20250102,MLAS3,MULTILASER,1.08,1.08,1.03,1.05,1.05,120747600
20250102,KLBN11,KLABIN S/A,23.2,23.22,22.9,23.04,23.03,10891097300
20250102,BBAS3,BRASIL,24.17,24.28,23.84,23.94,23.92,34698822200
20250102,BMOB3,BEMOBI TECH,13.36,13.44,13.05,13.16,13.09,533650100
20250102,CSAN3,COSAN,8.18,8.22,7.9,8.04,8.02,13046812100
20250102,GMAT3,GRUPO MATEUS,6.33,6.37,6.05,6.13,6.05,3888948600
20250102,ITUB4,ITAUUNIBANCO,30.65,30.85,30.24,30.55,30.57,78361892900
20250102,ARML3,ARMAC,5.03,5.1,4.78,5,5.06,524957500
20250102,BRKM6,BRASKEM,7.4,7.4,7.05,7.08,7.05,3189800
20250102,ETER3,ETERNIT,5.13,5.25,5.08,5.15,5.08,50369500
20250102,LJQQ3,QUERO-QUERO,2.17,2.23,2.09,2.13,2.12,864808000
20250102,EGIE3,ENGIE BRASIL,35.5,35.51,35.04,35.32,35.36,4956701400
20250102,BPAC11,BTGP BANCO,27.45,27.48,26.72,27.13,27.1,16447397100
20250102,CAML3,CAMIL,5.86,5.9,5.61,5.69,5.67,526010400
20250102,CEAB3,CEA MODAS,7.91,7.94,7.32,7.48,7.47,5449540800
20250102,CEEB3,COELBA,38.8,39,38.8,38.9,39,778000
20250102,CSED3,CRUZEIRO EDU,3.2,3.2,3.04,3.08,3.12,131032500
20250102,ENGI11,ENERGISA,36.2,36.38,35.48,35.93,36.05,9752612600
20250102,EPAR3,EMBPAR S/A,5.34,5.48,5.27,5.33,5.48,3682700
20250102,IFCM3,INFRACOMM,0.06,0.07,0.06,0.06,0.06,28962100
20250102,INEP4,INEPAR,1.29,1.34,1.29,1.31,1.31,1209700
20250102,JSLG3,JSL,5.39,5.39,5.17,5.26,5.25,117234200
20250102,BMGB4,BANCO BMG,3.77,3.78,3.7,3.73,3.71,106748600
20250102,CXSE3,CAIXA SEGURI,14.32,14.51,14.08,14.3,14.42,6386397500
20250102,ISAE3,ISA ENERGIA,31,31.42,30.97,31.26,31.14,42520400
20250102,ONCO3,ONCOCLINICAS,2.3,2.55,2.2,2.39,2.37,2139307800
20250102,CGRA3,GRAZZIOTIN,25.18,25.34,25.17,25.25,25.34,2020600
20250102,CMIG3,CEMIG,14.95,14.95,14.45,14.52,14.64,761526700
20250102,AZEV3,AZEVEDO,0.95,0.99,0.94,0.96,0.98,38697500
