"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.09.2025","21,09","21,40","21,53","20,96","16,97M","-1,40%"
"01.08.2025","21,39","19,90","21,40","18,12","960,67M","8,58%"
"01.07.2025","19,70","22,21","22,54","19,60","767,82M","-10,82%"
"01.06.2025","22,09","23,09","23,17","21,02","668,37M","-3,93%"
"01.05.2025","22,99","28,37","29,49","22,92","773,97M","-19,05%"
"01.04.2025","28,40","27,66","28,40","26,55","364,62M","2,63%"
"01.03.2025","27,68","26,20","28,45","26,15","364,66M","3,69%"
"01.02.2025","26,69","26,97","28,96","26,58","481,20M","-1,34%"
"01.01.2025","27,05","23,62","27,37","23,14","340,17M","14,52%"
"01.12.2024","23,62","24,07","24,89","23,19","418,27M","-3,96%"
"01.11.2024","24,60","25,68","25,96","24,15","442,35M","-4,13%"
"01.10.2024","25,66","26,41","26,82","25,42","354,55M","-3,13%"
"01.09.2024","26,48","27,47","28,35","26,48","269,40M","-5,20%"
"01.08.2024","27,94","26,05","28,68","24,82","379,29M","7,64%"
"01.07.2024","25,96","26,14","27,01","25,41","322,94M","-0,60%"
"01.06.2024","26,11","25,93","26,48","25,45","321,68M","0,93%"
"01.05.2024","25,87","26,27","27,34","25,55","415,59M","-1,09%"
"01.04.2024","26,16","27,05","28,07","25,77","325,91M","-3,14%"
"01.03.2024","27,01","27,44","27,99","26,30","369,71M","-1,44%"
"01.02.2024","27,40","26,36","28,01","25,82","408,64M","3,96%"
"01.01.2024","26,36","25,74","26,63","25,21","337,56M","1,91%"
"01.12.2023","25,86","25,22","25,86","24,11","348,11M","2,71%"
"01.11.2023","25,18","22,09","25,23","21,97","460,68M","14,00%"
"01.10.2023","22,09","21,55","22,97","21,10","380,19M","2,48%"
"01.09.2023","21,55","21,43","22,04","20,82","319,18M","0,88%"
