"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.09.2025","18,34","18,60","18,65","18,25","2,90M","-0,92%"
"01.08.2025","18,51","18,47","18,77","17,64","87,51M","0,85%"
"01.07.2025","18,35","18,33","19,53","18,00","97,94M","0,81%"
"01.06.2025","18,21","18,19","18,59","17,22","108,60M","0,76%"
"01.05.2025","18,07","18,07","19,59","17,90","105,79M","-1,35%"
"01.04.2025","18,31","18,48","18,86","17,45","128,29M","-0,70%"
"01.03.2025","18,44","19,82","20,21","18,44","90,72M","-5,40%"
"01.02.2025","19,50","22,14","22,39","19,50","82,51M","-12,92%"
"01.01.2025","22,39","23,15","23,18","21,08","96,58M","-3,28%"
"01.12.2024","23,15","21,75","24,01","21,71","118,24M","5,18%"
"01.11.2024","22,01","20,31","22,06","19,90","109,11M","8,29%"
"01.10.2024","20,32","20,41","20,99","19,39","116,13M","-0,14%"
"01.09.2024","20,35","21,07","21,89","20,17","82,32M","-5,73%"
"01.08.2024","21,59","21,58","22,38","20,42","85,77M","-0,70%"
"01.07.2024","21,74","21,28","21,98","20,31","94,75M","3,03%"
"01.06.2024","21,10","20,10","21,35","19,34","93,68M","5,51%"
"01.05.2024","20,00","20,47","21,55","19,86","95,93M","-1,73%"
"01.04.2024","20,35","22,31","22,42","20,20","93,81M","-8,79%"
"01.03.2024","22,31","19,95","22,38","19,11","110,81M","11,92%"
"01.02.2024","19,94","18,74","20,14","17,97","73,37M","6,87%"
"01.01.2024","18,66","19,46","19,93","18,62","72,88M","-4,19%"
"01.12.2023","19,47","19,25","19,47","17,79","121,59M","-0,84%"
"01.11.2023","19,64","18,54","20,51","18,51","97,99M","5,47%"
"01.10.2023","18,62","20,49","20,94","18,54","108,06M","-8,92%"
"01.09.2023","20,44","19,64","21,00","18,83","90,65M","4,61%"
