"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.09.2025","31,17","31,20","31,37","31,05","9,80M","0,23%"
"01.08.2025","31,10","32,07","32,21","29,08","702,24M","-2,56%"
"01.07.2025","31,92","30,75","32,10","29,92","549,83M","4,02%"
"01.06.2025","30,68","30,03","32,60","28,22","876,30M","4,61%"
"01.05.2025","29,33","28,67","30,76","28,15","777,09M","0,75%"
"01.04.2025","29,11","35,38","36,02","29,08","1,15B","-17,40%"
"01.03.2025","35,25","33,22","36,02","32,16","594,63M","0,40%"
"01.02.2025","35,11","36,90","37,78","34,67","673,99M","-4,67%"
"01.01.2025","36,83","35,59","37,49","35,23","588,12M","1,76%"
"01.12.2024","36,19","36,06","37,79","35,39","635,53M","0,35%"
"01.11.2024","36,06","33,56","36,95","32,48","686,01M","8,33%"
"01.10.2024","33,29","33,39","35,58","32,76","647,37M","-0,28%"
"01.09.2024","33,39","36,46","36,53","33,30","667,88M","-15,20%"
"01.08.2024","39,37","36,71","39,86","33,64","878,34M","8,25%"
"01.07.2024","36,37","37,25","38,02","35,38","637,90M","-1,70%"
"01.06.2024","37,00","36,71","37,11","33,21","691,80M","0,90%"
"01.05.2024","36,67","38,33","39,79","34,42","875,32M","-6,48%"
"01.04.2024","39,21","34,08","39,39","33,78","1,06B","15,49%"
"01.03.2024","33,95","36,67","37,21","31,90","1,06B","-15,42%"
"01.02.2024","40,14","40,78","42,94","39,83","716,54M","-0,77%"
"01.01.2024","40,45","37,44","41,24","37,23","719,54M","8,62%"
"01.12.2023","37,24","35,72","37,43","33,04","753,47M","3,70%"
"01.11.2023","35,91","33,73","36,03","32,66","992,20M","3,37%"
"01.10.2023","34,74","34,55","38,86","32,29","1,18B","0,29%"
"01.09.2023","34,64","32,21","34,71","31,96","889,76M","8,45%"
