"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.09.2025","156,95","154,07","157,29","152,96","96,02K","1,99%"
"01.08.2025","153,89","152,87","154,33","149,71","885,56K","1,21%"
"01.07.2025","152,05","155,89","155,97","149,50","863,23K","-2,46%"
"01.06.2025","155,89","156,90","156,94","150,69","831,10K","-0,64%"
"01.05.2025","156,90","155,28","156,90","152,22","679,78K","-0,39%"
"01.04.2025","157,52","149,52","157,66","146,57","859,88K","6,03%"
"01.03.2025","148,55","145,50","148,75","143,62","797,33K","0,88%"
"01.02.2025","147,26","147,79","150,48","144,38","907,02K","-1,14%"
"01.01.2025","148,96","152,24","152,76","144,42","966,50K","-1,79%"
"01.12.2024","151,68","147,48","152,79","137,96","1,30M","1,80%"
"01.11.2024","149,00","151,10","152,67","148,02","1,02M","-2,33%"
"01.10.2024","152,55","154,96","155,53","150,56","1,18M","-2,07%"
"01.09.2024","155,78","156,93","157,61","154,39","897,22K","-2,70%"
"01.08.2024","160,10","159,49","161,59","157,46","852,86K","1,19%"
"01.07.2024","158,21","159,00","162,55","155,48","1,02M","-0,40%"
"01.06.2024","158,85","159,00","159,85","152,39","1,12M","-0,09%"
"01.05.2024","159,00","161,07","162,49","156,52","857,79K","-1,29%"
"01.04.2024","161,07","162,30","163,16","157,66","949,63K","-0,76%"
"01.03.2024","162,30","162,20","163,94","159,45","836,65K","0,07%"
"01.02.2024","162,20","156,62","162,21","155,14","875,54K","3,55%"
"01.01.2024","156,63","152,53","156,86","152,36","1,13M","2,72%"
"01.12.2023","152,49","151,65","153,25","145,90","1,70M","1,06%"
"01.11.2023","150,89","147,71","152,16","144,93","1,38M","2,87%"
"01.10.2023","146,68","149,07","149,21","146,21","1,55M","-1,48%"
"01.09.2023","148,88","148,76","150,06","147,73","2,08M","0,22%"
