"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.09.2025","9,52","9,50","9,53","9,48","1,50M","0,00%"
"01.08.2025","9,52","9,43","9,52","9,27","22,85M","1,26%"
"01.07.2025","9,40","9,24","9,40","9,18","22,98M","1,91%"
"01.06.2025","9,22","9,26","9,26","8,91","24,02M","0,63%"
"01.05.2025","9,17","8,85","9,24","8,83","24,52M","1,76%"
"01.04.2025","9,01","8,80","9,07","8,71","23,94M","2,54%"
"01.03.2025","8,79","8,62","8,82","8,61","25,22M","-0,23%"
"01.02.2025","8,81","8,78","8,94","8,64","26,29M","-1,51%"
"01.01.2025","8,94","9,09","9,25","8,76","31,49M","-0,65%"
"01.12.2024","9,00","8,97","9,10","8,41","42,72M","-1,01%"
"01.11.2024","9,09","9,27","9,39","8,75","40,20M","-2,84%"
"01.10.2024","9,36","9,54","9,80","9,02","39,98M","-2,98%"
"01.09.2024","9,64","9,70","9,80","9,64","32,18M","-4,04%"
"01.08.2024","10,05","10,02","10,06","9,90","31,90M","-1,37%"
"01.07.2024","10,19","10,14","10,25","10,03","27,94M","0,49%"
"01.06.2024","10,14","10,16","10,18","9,96","20,11M","0,40%"
"01.05.2024","10,10","10,13","10,17","9,95","23,01M","-0,10%"
"01.04.2024","10,11","10,09","10,19","9,99","21,76M","-0,79%"
"01.03.2024","10,19","9,96","10,20","9,94","21,79M","-1,45%"
"01.02.2024","10,34","10,63","10,63","10,26","26,00M","-3,81%"
"01.01.2024","10,75","10,51","10,77","10,46","23,28M","1,70%"
"01.12.2023","10,57","10,60","10,64","10,41","24,11M","-1,31%"
"01.11.2023","10,71","10,70","10,98","10,55","18,20M","-0,93%"
"01.10.2023","10,81","10,96","11,01","10,71","16,06M","-2,35%"
"01.09.2023","11,07","10,84","11,25","10,72","25,86M","0,91%"
