"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.09.2025","93,72","94,43","95,26","93,72","38,26K","0,13%"
"01.08.2025","93,60","92,16","94,33","90,39","451,62K","1,71%"
"01.07.2025","92,03","92,66","93,21","90,39","556,66K","-1,13%"
"01.06.2025","93,08","89,98","93,08","87,30","514,13K","3,43%"
"01.05.2025","89,99","89,48","91,43","88,66","505,86K","-0,06%"
"01.04.2025","90,05","90,35","91,31","86,93","511,03K","-1,56%"
"01.03.2025","91,47","84,92","91,47","82,76","624,03K","6,42%"
"01.02.2025","85,95","78,70","86,98","77,89","631,48K","6,66%"
"01.01.2025","80,58","84,53","85,37","76,26","742,32K","-5,75%"
"01.12.2024","85,50","84,45","86,39","73,48","845,96K","-1,67%"
"01.11.2024","86,95","87,75","91,46","85,22","745,38K","-2,17%"
"01.10.2024","88,88","92,25","93,64","88,19","929,77K","-4,81%"
"01.09.2024","93,37","92,18","94,96","90,61","860,33K","-2,68%"
"01.08.2024","95,94","95,00","96,76","94,56","665,33K","-0,06%"
"01.07.2024","96,00","97,00","97,94","95,05","925,93K","-1,02%"
"01.06.2024","96,99","96,16","98,22","93,29","1,06M","-0,17%"
"01.05.2024","97,16","96,72","99,18","95,07","1,20M","0,55%"
"01.04.2024","96,63","96,82","98,20","95,27","869,87K","-1,11%"
"01.03.2024","97,71","95,44","98,08","93,25","919,15K","-2,06%"
"01.02.2024","99,77","98,27","101,35","97,98","868,18K","0,26%"
"01.01.2024","99,51","98,95","101,35","98,15","821,19K","-0,24%"
"01.12.2023","99,75","98,80","99,90","96,50","426,64K","-0,06%"
"01.11.2023","99,81","99,49","101,50","98,51","324,71K","-0,69%"
"01.10.2023","100,50","99,23","101,38","98,64","478,68K","0,08%"
"01.09.2023","100,42","99,37","101,86","98,18","396,07K","-0,13%"
