"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.09.2025","103,55","104,00","104,96","103,20","216,29K","1,62%"
"01.08.2025","101,90","101,43","101,96","98,24","2,26M","1,03%"
"01.07.2025","100,86","102,13","103,60","99,18","2,06M","-1,38%"
"01.06.2025","102,27","102,09","102,52","98,79","2,34M","0,46%"
"01.05.2025","101,80","103,07","103,89","100,51","2,12M","-1,84%"
"01.04.2025","103,71","98,94","104,17","95,67","2,24M","4,04%"
"01.03.2025","99,68","93,03","100,69","93,03","2,55M","6,50%"
"01.02.2025","93,60","95,02","96,86","93,25","2,75M","-2,24%"
"01.01.2025","95,74","95,94","97,17","92,98","2,90M","-0,09%"
"01.12.2024","95,84","98,40","99,85","87,79","3,86M","-1,90%"
"01.11.2024","97,69","99,60","101,45","96,85","2,59M","-3,12%"
"01.10.2024","100,84","103,82","104,42","99,93","3,01M","-4,48%"
"01.09.2024","105,56","109,60","109,94","104,85","3,63M","-5,75%"
"01.08.2024","112,00","110,84","112,85","110,45","2,51M","1,19%"
"01.07.2024","110,68","110,92","112,58","107,63","2,63M","-0,22%"
"01.06.2024","110,92","111,15","112,15","106,35","3,14M","-0,15%"
"01.05.2024","111,09","112,67","114,70","110,53","2,85M","-1,32%"
"01.04.2024","112,58","111,64","113,22","110,92","3,19M","0,85%"
"01.03.2024","111,63","112,62","113,05","111,25","2,03M","-0,88%"
"01.02.2024","112,62","110,65","113,09","109,92","1,80M","1,81%"
"01.01.2024","110,62","109,86","112,09","105,90","2,84M","1,03%"
"01.12.2023","109,49","104,21","113,68","102,78","2,42M","6,33%"
"01.11.2023","102,98","100,44","105,37","100,42","1,65M","2,55%"
"01.10.2023","100,42","101,39","103,68","99,52","1,95M","-0,73%"
"01.09.2023","101,16","100,18","104,25","99,46","3,43M","0,98%"
