Ticker,Nome do Fundo,Administrador,Segmento,Setor,Data de Início,Patrimônio Líquido (R$),CNPJ
BTCI11,BTG Pactual Crédito Imobiliário,BTG Pactual,CRIs,Recebíveis Imobiliários,2012-07-16,1.200.000.000,15.092.109/0001-55
CPTS11,Capitânia Securities II,Capitânia Investimentos,CRIs,Recebíveis Imobiliários,2018-09-12,3.500.000.000,17.618.668/0001-20
HGLG11,CSHG Logística Credit Suisse,CSHG Corretora,Logística,Tijolo - Logística,2010-06-01,5.800.000.000,08.781.433/0001-05
MXRF11,Maxi Renda,XP Asset,CRIs/CRAs,Híbrido (Papel + Renda),2011-07-01,4.700.000.000,12.881.063/0001-55
RBRY11,RBR High Yield Renda Urbana,RBR Asset Management,Renda Urbana/CRIs,Híbrido (Tijolo + CRIs),2019-05-15,1.000.000.000,26.272.756/0001-00
VGIR11,Valora CRI Rendimentos,Valora Gestão de Investimentos,CRIs,Recebíveis Imobiliários,2020-01-20,900.000.000,35.762.957/0001-10
XPML11,XP Malls,XP Asset,Shoppings,Tijolo - Shoppings,2018-06-12,3.200.000.000,30.293.824/0001-00
HGBS11,Hedge Brasil Shopping,Hedge Investments,Shoppings,Tijolo - Shoppings,2012-10-01,1.500.000.000,13.273.605/0001-09
HGBL11,Hedge Brasil Logística,Hedge Investments,Logística,Tijolo - Logística,2013-03-01,1.800.000.000,13.273.614/0001-80
BBAS3,Banco do Brasil,Banco do Brasil,S/A,Banco,1965-12-31,500.000.000.000,00.000.000/0001-91
ITUB3,Itaú Unibanco,Itaú Unibanco,S/A,Banco,1924-06-16,700.000.000.000,60.872.504/0001-23
BBDC4,Bradesco,Bradesco,S/A,Banco,1943-06-10,400.000.000.000,60.746.948/0001-12
PETR4,Petrobras,Petrobras,S/A,Petróleo e Gás,1953-10-03,1.500.000.000.000,33.000.167/0001-01
VALE3,Vale,Vale,S/A,Mineração,1942-06-01,1.000.000.000.000,12.345.678/0001-90
ABEV3,Ambev,Ambev,S/A,Bebidas,1999-11-18,300.000.000.000,07.526.557/0001-00
MGLU3,Magazine Luiza,Magazine Luiza,S/A,Varejo,1957-10-03,100.000.000.000,12.345.678/0001-90
B3SA3,B3,B3,S/A,Serviços Financeiros,1890-09-23,100.000.000.000,12.345.678/0001-90
WEGE3,WEG,WEG,S/A,Indústria,1961-09-01,200.000.000.000,12.345.678/0001-90
LREN3,Lojas Renner,Lojas Renner,S/A,Varejo,1965-10-03,30.000.000.000,12.345.678/0001-90
GGBR4,Gerdau,Gerdau,S/A,Aço,1901-06-01,100.000.000.000,12.345.678/0001-90
ITSA4,Itaúsa,Itaúsa,S/A,Investimentos,1966-06-01,200.000.000.000,12.345.678/0001-90
BBSE3,BB Seguridade,BB Seguridade,S/A,Seguros,2013-05-02,100.000.000.000,12.345.678/0001-90
RADL3,Radium Pharma,Radium Pharma,S/A,Farmacêutica,2001-10-03,50.000.000.000,12.345.678/0001-90
SBSP3,Sabesp,Sabesp,S/A,Saneamento,1973-06-01,30.000.000.000,12.345.678/0001-90
SUZB3,Suzano,Suzano,S/A,Papel e Celulose,1924-06-01,100.000.000.000,12.345.678/0001-90
USIM5,Usiminas,Usiminas,S/A,Aço,1956-06-01,50.000.000.000,12.345.678/0001-90
JBSS3,JBS,JBS,S/A,Alimentos,1953-06-01,100.000.000.000,12.345.678/0001-90
BRFS3,Brasil Foods,Brasil Foods,S/A,Alimentos,2009-05-13,30.000.000.000,12.345.678/0001-90
CIEL3,Cielo,Cielo,S/A,Tecnologia,1997-10-03,10.000.000.000,12.345.678/0001-90
GOLL4,Gol,Gol,S/A,Transporte Aéreo,2004-05-28,10.000.000.000,12.345.678/0001-90
AZUL4,Azul,Azul,S/A,Transporte Aéreo,2008-05-05,10.000.000.000,12.345.678/0001-90
RENT3,Localiza,Localiza,S/A,Transporte e Logística,1973-06-01,10.000.000.000,12.345.678/0001-90
VVAR3,Via Varejo,Via Varejo,S/A,Varejo,2013-05-02,10.000.000.000,12.345.678/0001-90
LAME4,Lojas Americanas,Lojas Americanas,S/A,Varejo,1929-06-01,10.000.000.000,12.345.678/0001-90
HYPE3,Hypeness,Hypeness,S/A,Tecnologia,2020-01-20,10.000.000.000,12.345.678/0001-90
BTOW3,B2W,B2W,S/A,Varejo,2006-10-03,10.000.000.000,12.345.678/0001-90
