ISEE - 2025
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;;;3.339,50;;;3.874,12;3.593,15;;;;
2;3.049,77;;;3.361,91;3.651,63;3.785,12;3.817,43;;;;;
3;3.020,18;3.257,10;;3.423,34;;3.840,13;3.883,05;;;;;
4;;3.236,58;;3.332,74;;3.827,57;3.889,57;3.608,05;;;;
5;;3.230,19;3.175,50;;3.611,74;3.794,81;;3.613,63;;;;
6;3.084,81;3.255,18;3.195,46;;3.603,71;3.768,18;;3.680,51;;;;
7;3.119,81;3.213,31;3.248,66;3.294,93;3.585,94;;3.845,21;3.720,61;;;;
8;3.072,60;;;3.275,90;3.672,56;;3.820,58;3.697,63;;;;
9;3.081,30;;;3.368,89;3.659,99;3.754,57;3.768,27;;;;;
10;3.041,53;3.237,40;3.233,16;3.343,19;;3.775,80;3.744,17;;;;;
11;;3.291,15;3.203,93;3.376,43;;3.789,23;3.707,51;3.677,61;;;;
12;;3.245,21;3.223,23;;3.637,63;3.802,14;;3.742,22;;;;
13;3.035,31;3.262,97;3.255,19;;3.715,31;3.776,93;;3.699,15;;;;
14;3.043,65;3.357,04;3.307,49;3.423,48;3.711,40;;3.682,54;3.702,91;;;;
15;3.142,37;;;3.435,58;3.748,91;;3.702,10;3.708,94;;;;
16;3.088,94;;;3.421,83;3.758,92;3.844,64;3.703,50;;;;;
17;3.104,86;3.386,33;3.349,54;3.454,23;;3.836,88;3.704,31;;;;;
18;;3.363,41;3.354,82;;;3.833,30;3.629,86;3.742,89;;;;
19;;3.309,33;3.388,46;;3.774,76;;;3.654,96;;;;
20;3.116,89;3.308,55;3.367,40;;3.785,55;3.785,00;;3.668,76;;;;
21;3.135,45;3.287,77;3.367,30;;3.714,93;;3.638,53;3.651,58;;;;
22;3.157,33;;;3.478,62;3.715,03;;3.616,60;3.749,31;;;;
23;3.138,37;;;3.527,98;3.733,24;3.778,05;3.662,69;;;;;
24;3.134,42;3.231,33;3.333,81;3.620,82;;3.822,10;3.623,60;;;;;
25;;3.255,34;3.358,18;3.627,86;;3.778,15;3.619,20;3.749,35;;;;
26;;3.207,05;3.367,46;;3.758,94;3.815,60;;3.742,11;;;;
27;3.218,19;3.221,30;3.383,50;;3.818,12;3.799,97;;3.790,17;;;;
28;3.192,78;3.161,89;3.357,98;3.634,82;3.813,49;;3.573,46;;;;;
29;3.185,85;;;3.630,97;3.815,03;;3.586,07;;;;;
30;3.284,36;;;3.657,33;3.797,89;3.867,19;3.627,07;;;;;
31;3.256,94;;3.310,33;;;;3.589,26;;;;;
MÍNIMO;3.020,18;3.161,89;3.175,50;3.275,90;3.585,94;3.754,57;3.573,46;3.593,15;;;;
MÍNIMO;3.284,36;3.386,33;3.388,46;3.657,33;3.818,12;3.867,19;3.889,57;3.790,17;;;;
