ISEE - Carteira do Dia 28/08/25
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
TTEN3;3TENTOS;ON      NM;199.103.924;0,353;
AERI3;AERIS;ON      NM;62.660.558;0,032;
ALOS3;ALLOS;ON  ED  NM;754.147.583;2,152;
ABEV3;AMBEV S/A;ON;1.060.153.874;1,579;
AMBP3;AMBIPAR;ON      NM;653.996.460;1,050;
ASAI3;ASSAI;ON      NM;1.780.758.654;2,192;
AURE3;AUREN;ON      NM;573.221.142;0,748;
AZZA3;AZZAS 2154;ON      NM;241.965.855;1,024;
B3SA3;B3;ON      NM;1.414.348.196;2,197;
BPAN4;BANCO PAN;PN      N1;505.883.645;0,481;
BBDC4;BRADESCO;PN      N1;1.415.153.355;2,851;
BBAS3;BRASIL;ON      NM;650.828.435;1,646;
BRFS3;BRF SA;ON      NM;718.783.614;1,756;
BPAC11;BTGP BANCO;UNT     N2;459.958.736;2,483;
CAML3;CAMIL;ON      NM;170.253.898;0,097;
BHIA3;CASAS BAHIA;ON      NM;168.042.899;0,067;
CBAV3;CBA;ON      NM;361.867.605;0,151;
CEAB3;CEA MODAS;ON      NM;179.703.325;0,365;
CMIG4;CEMIG;PN      N1;1.747.774.054;2,372;
COGN3;COGNA ON;ON      NM;3.315.785.340;1,183;
CSMG3;COPASA;ON      NM;333.703.516;1,191;
CPLE6;COPEL;PNB     N2;1.630.597.089;2,425;
CSAN3;COSAN;ON      NM;2.054.560.072;1,406;
CPFE3;CPFL ENERGIA;ON      NM;332.431.044;1,602;
CYRE3;CYRELA REALT;ON      NM;455.403.165;1,508;
DXCO3;DEXCO;ON      NM;534.307.798;0,371;
ECOR3;ECORODOVIAS;ON      NM;583.041.148;0,547;
ELET3;ELETROBRAS;ON      N1;385.383.495;2,055;
ENEV3;ENEVA;ON      NM;1.179.796.910;2,180;
EGIE3;ENGIE BRASIL;ON  ED  NM;451.973.395;2,197;
EQTL3;EQUATORIAL;ON      NM;510.745.167;2,270;
FLRY3;FLEURY;ON      NM;807.436.706;1,419;
GFSA3;GAFISA;ON      NM;18.468.359;0,030;
GUAR3;GUARARAPES;ON      NM;145.051.477;0,159;
HBSA3;HIDROVIAS;ON      NM;2.407.135.771;1,054;
HYPE3;HYPERA;ON      NM;585.792.126;1,720;
IGTI11;IGUATEMI S.A;UNT     N1;351.439.351;0,963;
MYPK3;IOCHP-MAXION;ON      NM;232.888.944;0,399;
RANI3;IRANI;ON      NM;187.994.490;0,182;
ISAE4;ISA ENERGIA;PN      N1;700.889.584;1,951;
ITSA4;ITAUSA;PN  EJ  N1;1.745.576.547;2,363;
ITUB4;ITAUUNIBANCO;PN  EJ  N1;525.600.889;2,421;
JSLG3;JSL;ON      NM;111.828.156;0,075;
KLBN11;KLABIN S/A;UNT     N2;997.630.870;2,247;
LREN3;LOJAS RENNER;ON      NM;1.362.877.568;2,672;
MDIA3;M.DIASBRANCO;ON  ED  NM;117.536.819;0,425;
MGLU3;MAGAZ LUIZA;ON      NM;625.860.000;0,551;
BEEF3;MINERVA;ON  ATZ NM;767.109.529;0,559;
MTRE3;MITRE REALTY;ON  ED  NM;101.236.470;0,044;
MOTV3;MOTIVA SA;ON      NM;1.323.117.906;2,279;
MOVI3;MOVIDA;ON      NM;215.671.076;0,189;
MRVE3;MRV;ON  ATZ NM;664.854.858;0,607;
NATU3;NATURA;ON      NM;1.497.566.845;1,667;
NEOE3;NEOENERGIA;ON      NM;345.378.221;1,148;
OPCT3;OCEANPACT;ON      NM;224.356.841;0,184;
ODPV3;ODONTOPREV;ON      NM;446.602.201;0,713;
PCAR3;P.ACUCAR-CBD;ON      NM;816.656.322;0,361;
PSSA3;PORTO SEGURO;ON      NM;323.273.042;2,040;
PTBL3;PORTOBELLO;ON      NM;87.181.736;0,044;
LJQQ3;QUERO-QUERO;ON      NM;346.188.475;0,107;
RADL3;RAIADROGASIL;ON      NM;933.036.792;2,130;
RAIZ4;RAIZEN;PN  ATZ N2;2.143.973.383;0,279;
RDOR3;REDE D OR;ON      NM;490.452.338;2,300;
RAIL3;RUMO S.A.;ON      NM;882.707.057;1,578;
SBSP3;SABESP;ON      NM;127.103.124;1,871;
SAPR11;SANEPAR;UNT     N2;356.066.161;1,478;
SANB11;SANTANDER BR;UNT;631.443.714;2,149;
STBP3;SANTOS BRP;ON      NM;725.226.735;1,264;
SRNA3;SERENA;ON      NM;739.529.800;1,101;
SIMH3;SIMPAR;ON      NM;402.003.085;0,240;
SLCE3;SLC AGRICOLA;ON      NM;343.993.117;0,734;
VIVT3;TELEF BRASIL;ON  EJ;634.796.441;2,653;
TIMS3;TIM;ON      NM;1.076.507.796;3,029;
UGPA3;ULTRAPAR;ON  ED  NM;809.423.387;1,831;
USIM5;USIMINAS;PNA     N1;912.265.421;0,471;
VAMO3;VAMOS;ON      NM;859.005.977;0,426;
VBBR3;VIBRA;ON      NM;860.525.355;2,442;
WEGE3;WEG;ON      NM;316.168.570;1,463;
PORT3;WILSON SONS;ON      NM;328.821.614;0,726;
YDUQ3;YDUQS PART;ON      NM;460.818.016;0,731;
Quantidade Teórica Total;;;57.003.403.013;100,000
Redutor;;;215.190.179,15742449
