ISEE - 2014 2025
Mês;Ano;Valor

1;2014;13,10
2;2014;19,94
3;2014;17,10
4;2014;15,49
5;2014;16,33
6;2014;14,75
7;2014;12,19
8;2014;14,28
9;2014;14,55
10;2014;29,83
11;2014;18,92
12;2014;27,72
1;2015;23,39
2;2015;15,60
3;2015;18,43
4;2015;15,18
5;2015;18,74
6;2015;17,64
7;2015;16,03
8;2015;25,47
9;2015;21,80
10;2015;22,34
11;2015;22,33
12;2015;19,49
1;2016;28,89
2;2016;30,80
3;2016;27,08
4;2016;24,20
5;2016;16,54
6;2016;22,26
7;2016;12,09
8;2016;14,35
9;2016;18,99
10;2016;11,16
11;2016;25,33
12;2016;22,13
1;2017;18,77
2;2017;12,96
3;2017;16,05
4;2017;13,10
5;2017;31,89
6;2017;11,26
7;2017;8,92
8;2017;12,24
9;2017;12,84
10;2017;15,46
11;2017;19,47
12;2017;14,44
1;2018;13,36
2;2018;20,07
3;2018;10,99
4;2018;13,56
5;2018;22,46
6;2018;20,76
7;2018;13,91
8;2018;19,64
9;2018;17,56
10;2018;27,52
11;2018;18,27
12;2018;15,66
1;2019;19,76
2;2019;21,33
3;2019;26,95
4;2019;16,67
5;2019;20,75
6;2019;14,58
7;2019;14,00
8;2019;24,45
9;2019;12,79
10;2019;16,59
11;2019;14,73
12;2019;9,88
1;2020;17,11
2;2020;31,98
3;2020;116,82
4;2020;52,47
5;2020;31,47
6;2020;24,96
7;2020;21,93
8;2020;22,13
9;2020;23,72
10;2020;23,51
11;2020;23,55
12;2020;13,23
1;2021;23,95
2;2021;25,70
3;2021;21,73
4;2021;11,67
5;2021;14,98
6;2021;15,20
7;2021;16,46
8;2021;15,81
9;2021;24,27
10;2021;24,75
11;2021;22,14
12;2021;16,72
1;2022;22,07
2;2022;15,43
3;2022;27,83
4;2022;17,89
5;2022;21,66
6;2022;17,79
7;2022;15,95
8;2022;21,59
9;2022;23,46
10;2022;31,20
11;2022;30,34
12;2022;27,75
1;2023;24,76
2;2023;18,25
3;2023;22,75
4;2023;21,73
5;2023;18,70
6;2023;18,79
7;2023;16,55
8;2023;13,31
9;2023;15,71
10;2023;22,13
11;2023;20,74
12;2023;14,03
1;2024;15,83
2;2024;15,31
3;2024;10,52
4;2024;15,58
5;2024;14,54
6;2024;16,82
7;2024;13,68
8;2024;15,11
9;2024;14,03
10;2024;11,61
11;2024;23,83
12;2024;23,92
1;2025;22,64
2;2025;19,84
3;2025;14,26
4;2025;20,05
5;2025;15,72
6;2025;14,59
7;2025;15,01
8;2025;18,13
