Data,Código,Nome,Preço Abertura,Preço Máximo,Preço Mínimo,Preço Médio,Preço Fechamento,Volume
20250110,AURA33,AURA 360,24.2,25.09,23.82,24.75,24.9,1004422042
20250110,G2DI33,G2D INVEST,1.85,1.85,1.78,1.8,1.82,4677819
20250110,BIVB39,CORE SP 500,90.29,90.29,88.7,89.34,88.8,12305574862
20250110,BIWM39,RUSSELL 2000,67.57,67.57,65.83,66.04,66.67,1637633587
20250110,BMTU39,MSCIUSAMOM F,63.2,63.45,63.2,63.39,63.3,9509266
20250110,P1EA34,HEALTHPEAK P,120.6,120.6,120.6,120.6,120.6,84420
20250110,CLOV34,CLOVERHEALTH,22.21,22.8,22.18,22.22,22.2,1393338
20250110,P1UK34,PRUDENTIAL P,22.32,22.32,22.32,22.32,22.32,669600
20250110,P2IN34,PINTERESTINC,31.83,31.83,31.83,31.83,31.83,60477
20250110,PAGS34,PAGSEGURO,7.95,7.95,7.48,7.61,7.9,139011957
20250110,PHMO34,PHILIP MORRI,369.45,369.45,360.18,367.69,360.18,1360476
20250110,G1LL34,GLOBE LIFE I,33.44,33.44,33.44,33.44,33.44,13376
20250110,G2DD34,GODADDY INC,120,120,120,120,120,12000
20250110,T1AL34,TAL EDUCATIO,5.71,5.93,5.59,5.63,5.93,877508
20250110,SBUB34,STARBUCKS,562.6,563.9,562.6,563.25,563.9,112650
20250110,T1RI34,TRIPADVISOR,86.4,86.4,86.4,86.4,86.4,725760
20250110,T2DH34,TELADOCHEALT,1.9,2.01,1.9,1.99,2,25589
20250110,NFLX34,NETFLIX,105.63,106.17,101.7,103.22,101.7,469189672
20250110,NOKI34,NOKIA CORP,27.56,27.56,27.56,27.56,27.56,2756
20250110,V2EE34,VEEVASYSTEMS,44.01,44.28,43.92,44.02,43.92,70434
20250110,MDLZ34,MONDELEZ INT,173.49,173.49,172.01,173.22,172.01,103933
20250110,A1CR34,AMCOR PLC,58.04,58.04,58.04,58.04,58.04,5804
20250110,A1IV34,APARTMENT IN,53.05,53.05,53.05,53.05,53.05,21220
20250110,I1AC34,IAC INTERACT,12.55,12.6,12.55,12.57,12.6,5408000
20250110,I1EX34,IDEX CORP,63.24,63.24,63.24,63.24,63.24,69564
20250110,L1HX34,L3HARRIS TEC,317.44,317.75,317.44,317.48,317.75,222239
20250110,A1MD34,ADVANCED MIC,90.31,90.6,87.15,88.39,87.93,472288184
20250110,CRIP34,CTRIPCOM,383.52,383.52,383.52,383.52,383.52,38352
20250110,Z2LL34,ZILLOW GROUP,35.51,36.08,35.51,35.56,35.97,71123
