"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.09.2025","16,72","16,84","16,94","16,71","13,48M","-0,65%"
"01.08.2025","16,83","15,69","16,93","15,49","616,59M","8,50%"
"01.07.2025","15,51","16,54","16,86","15,25","623,24M","-5,96%"
"01.06.2025","16,49","15,98","16,61","15,24","648,75M","4,01%"
"01.05.2025","15,86","13,36","16,00","12,68","977,81M","18,01%"
"01.04.2025","13,44","12,17","13,46","11,57","678,40M","10,39%"
"01.03.2025","12,17","10,78","12,77","10,78","745,96M","10,79%"
"01.02.2025","10,99","11,80","12,30","10,96","967,10M","-7,02%"
"01.01.2025","11,82","11,04","12,17","10,81","843,56M","7,33%"
"01.12.2024","11,01","11,98","12,27","10,82","760,71M","-10,13%"
"01.11.2024","12,25","14,01","14,02","11,95","857,80M","-12,13%"
"01.10.2024","13,94","14,17","14,98","13,82","751,80M","-3,47%"
"01.09.2024","14,44","15,21","15,87","14,01","703,46M","-7,55%"
"01.08.2024","15,62","12,43","15,92","12,42","1,03B","25,67%"
"01.07.2024","12,43","12,41","12,80","12,20","610,77M","0,40%"
"01.06.2024","12,38","12,31","12,75","12,14","818,76M","0,90%"
"01.05.2024","12,27","13,84","13,84","12,25","766,38M","-9,31%"
"01.04.2024","13,53","13,86","14,39","13,02","679,22M","-1,74%"
"01.03.2024","13,77","13,30","13,98","13,11","571,94M","0,15%"
"01.02.2024","13,75","15,38","16,64","13,18","1,34B","-10,42%"
"01.01.2024","15,35","16,93","16,99","15,22","738,23M","-10,18%"
"01.12.2023","17,09","15,63","17,13","15,41","785,80M","5,04%"
"01.11.2023","16,27","13,98","16,65","13,94","887,76M","16,30%"
"01.10.2023","13,99","14,30","14,74","13,87","672,57M","-2,17%"
"01.09.2023","14,30","15,03","15,15","13,84","620,04M","-4,35%"
