"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.09.2025","9,25","9,23","9,27","9,19","156,96K","0,43%"
"01.08.2025","9,21","9,04","9,23","8,92","3,46M","1,66%"
"01.07.2025","9,06","9,02","9,17","8,92","4,29M","0,44%"
"01.06.2025","9,02","9,00","9,04","8,48","4,25M","1,09%"
"01.05.2025","8,92","8,79","8,99","8,69","3,19M","0,38%"
"01.04.2025","8,89","8,69","9,05","8,31","3,35M","1,76%"
"01.03.2025","8,74","8,22","8,82","8,03","3,04M","5,25%"
"01.02.2025","8,30","7,90","8,31","7,66","2,78M","3,95%"
"01.01.2025","7,98","8,40","8,75","7,64","3,42M","-5,00%"
"01.12.2024","8,41","8,73","8,73","7,28","6,22M","-4,27%"
"01.11.2024","8,78","8,81","9,14","8,52","3,64M","-1,43%"
"01.10.2024","8,91","9,70","9,70","8,88","5,05M","-9,16%"
"01.09.2024","9,81","9,73","9,83","9,64","3,20M","-1,03%"
"01.08.2024","9,91","9,75","9,95","9,66","3,34M","1,87%"
"01.07.2024","9,73","9,77","9,90","9,57","4,28M","-0,35%"
"01.06.2024","9,76","9,74","9,82","9,52","3,38M","0,22%"
"01.05.2024","9,74","9,75","9,82","9,45","5,41M","0,00%"
"01.04.2024","9,74","9,68","9,84","9,51","4,61M","0,50%"
"01.03.2024","9,69","9,55","9,70","9,40","5,46M","1,50%"
"01.02.2024","9,55","9,29","9,65","9,20","4,60M","2,72%"
"01.01.2024","9,29","9,20","9,32","9,15","5,41M","1,66%"
"01.12.2023","9,14","8,86","9,21","8,70","4,48M","3,19%"
"01.11.2023","8,86","8,79","8,96","8,71","4,44M","0,99%"
"01.10.2023","8,77","8,83","8,93","8,67","4,79M","-0,20%"
"01.09.2023","8,79","8,47","8,94","8,36","4,94M","4,23%"
