"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.09.2025","7,44","7,45","7,49","7,41","809,93K","-0,13%"
"01.08.2025","7,45","7,19","7,47","7,13","18,29M","3,56%"
"01.07.2025","7,19","7,28","7,44","7,11","14,26M","-1,38%"
"01.06.2025","7,29","7,13","7,29","6,90","19,40M","2,32%"
"01.05.2025","7,13","7,27","7,31","6,96","23,20M","-3,19%"
"01.04.2025","7,36","6,87","7,41","6,76","23,73M","5,93%"
"01.03.2025","6,95","6,03","7,07","6,02","27,22M","13,67%"
"01.02.2025","6,12","5,93","6,13","5,89","26,06M","1,98%"
"01.01.2025","6,00","6,56","6,62","5,89","26,13M","-9,08%"
"01.12.2024","6,60","6,57","6,76","5,80","28,93M","-0,88%"
"01.11.2024","6,65","6,93","7,03","6,57","24,44M","-4,75%"
"01.10.2024","6,99","7,50","7,65","6,94","49,95M","-8,91%"
"01.09.2024","7,67","8,03","8,09","7,60","22,26M","-5,66%"
"01.08.2024","8,13","8,08","8,35","7,97","22,48M","0,63%"
"01.07.2024","8,08","8,02","8,33","7,91","19,24M","0,57%"
"01.06.2024","8,03","8,07","8,13","7,85","19,37M","-0,50%"
"01.05.2024","8,07","8,20","8,26","8,01","25,42M","-1,17%"
"01.04.2024","8,17","8,08","8,27","7,95","20,87M","1,04%"
"01.03.2024","8,08","7,97","8,09","7,84","17,75M","1,39%"
"01.02.2024","7,97","7,91","8,03","7,79","15,76M","0,83%"
"01.01.2024","7,91","7,82","7,98","7,74","18,52M","1,12%"
"01.12.2023","7,82","7,26","7,83","7,20","14,41M","8,30%"
"01.11.2023","7,22","7,15","7,53","7,12","17,49M","1,67%"
"01.10.2023","7,10","7,86","7,99","7,08","19,07M","-9,64%"
"01.09.2023","7,86","7,83","8,17","7,67","32,53M","0,37%"
