"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.09.2025","9,61","9,60","9,64","9,55","468,61K","0,31%"
"01.08.2025","9,58","9,41","9,58","9,24","10,07M","2,02%"
"01.07.2025","9,39","9,40","9,56","9,16","13,29M","-0,08%"
"01.06.2025","9,40","9,22","9,41","8,98","11,41M","2,34%"
"01.05.2025","9,18","8,94","9,36","8,90","10,26M","1,57%"
"01.04.2025","9,04","9,09","9,16","8,79","16,37M","-1,57%"
"01.03.2025","9,19","8,90","9,28","8,77","8,43M","1,93%"
"01.02.2025","9,01","8,56","9,03","8,49","9,19M","3,97%"
"01.01.2025","8,67","8,91","9,09","8,45","11,03M","-3,31%"
"01.12.2024","8,96","8,99","9,16","7,83","15,24M","-1,51%"
"01.11.2024","9,10","9,30","9,35","8,98","11,42M","-3,83%"
"01.10.2024","9,46","9,34","9,53","8,93","13,09M","-0,07%"
"01.09.2024","9,47","9,67","9,74","9,45","10,96M","-5,20%"
"01.08.2024","9,99","9,72","10,02","9,52","9,58M","2,76%"
"01.07.2024","9,72","9,68","9,85","9,58","8,24M","0,15%"
"01.06.2024","9,71","9,41","9,74","9,30","7,26M","3,40%"
"01.05.2024","9,39","9,18","9,41","9,14","7,75M","2,44%"
"01.04.2024","9,16","9,22","9,30","9,06","8,28M","-0,42%"
"01.03.2024","9,20","8,94","9,25","8,91","7,32M","2,91%"
"01.02.2024","8,94","8,83","9,13","8,80","9,00M","1,25%"
"01.01.2024","8,83","8,87","9,01","8,80","9,30M","-0,42%"
"01.12.2023","8,87","8,62","8,89","8,41","9,68M","3,13%"
"01.11.2023","8,60","8,50","8,97","8,41","9,60M","1,03%"
"01.10.2023","8,51","8,52","8,76","8,39","7,85M","-0,12%"
"01.09.2023","8,52","8,43","8,56","8,20","10,70M","1,25%"
