ativo_id,ticker,nome,setor_id,preco_atual
1,BBAS3,BBAS3 - Banco do Brasil S.A.,1,22.89
2,BBDC4,BBDC4 - Banco Bradesco,1,18.73
3,CPTS11,CPTS11 - Capitania Securities II,5,7.54
4,HGLG11,HGLG11 - Patria Log,7,158.1
5,MXRF11,MXRF11 - Maxi Renda,2,9.66
6,PETR4,PETR4 - Petroleo Brasileiro S.A.,4,32.18
7,RBRY11,RBRY11 - RBR Private Credito Imobiliario,3,96.39
8,VGIR11,VGIR11 - Valora RE III,5,9.49
9,XPML11,XPML11 - XP Malls,8,106.59
10,RF001,RF001 - Tesouro Selic 2028,6,1000.0
11,RF002,RF002 - CDB Liquidez Diária 100% CDI,6,1000.0
12,RF003,RF003 - LCI Banco XYZ,6,1000.0
