carteira_id,data,valor_total
1,2025-01-03,9115.6
1,2025-01-06,9200.07
1,2025-01-07,9311.43
1,2025-01-13,9296.07
1,2025-01-14,9465.02
1,2025-01-20,9764.52
1,2025-01-21,9852.83
1,2025-01-22,10033.3
1,2025-01-23,14355.67
1,2025-01-29,14742.5
1,2025-01-30,14849.95
1,2025-01-31,14871.45
2,2025-01-03,6262.1
2,2025-01-06,6385.1
2,2025-01-07,6474.56
2,2025-01-13,6273.28
2,2025-01-14,6390.69
2,2025-01-21,10942.5
2,2025-01-22,10792.09
2,2025-01-29,10820.29
2,2025-01-30,11412.54
2,2025-01-31,11365.54
3,2025-01-03,8021.29
3,2025-01-06,7997.63
3,2025-01-07,8009.46
3,2025-01-13,11562.32
3,2025-01-14,11245.54
3,2025-01-20,11069.56
3,2025-01-21,11227.95
3,2025-01-22,11051.96
3,2025-01-29,10787.98
3,2025-01-30,10823.18
3,2025-01-31,10928.77
4,2025-01-03,1263.54
4,2025-01-06,1253.28
4,2025-01-07,1238.92
4,2025-01-13,6136.73
4,2025-01-14,6102.06
4,2025-01-20,6111.03
4,2025-01-21,6096.75
4,2025-01-22,6119.6
4,2025-01-29,6065.34
4,2025-01-30,6115.11
4,2025-01-31,6210.98
5,2025-01-03,2942.9
5,2025-01-06,2961.87
5,2025-01-07,2984.0
5,2025-01-13,2908.13
5,2025-01-14,2923.94
5,2025-01-20,2873.36
5,2025-01-21,2876.52
5,2025-01-22,2867.04
5,2025-01-29,6911.6
5,2025-01-30,6964.94
5,2025-01-31,7018.28
6,2025-01-03,10720.92
6,2025-01-06,10670.82
6,2025-01-07,10897.74
6,2025-01-13,10924.26
6,2025-01-14,10850.59
6,2025-01-21,10992.04
6,2025-01-22,10930.15
6,2025-01-23,10853.53
6,2025-01-29,12386.61
6,2025-01-30,12551.1
6,2025-01-31,12651.8
7,2025-01-03,6563.38
7,2025-01-06,6548.29
7,2025-01-07,6706.71
7,2025-01-13,6504.53
7,2025-01-14,6490.2
7,2025-01-20,9213.28
7,2025-01-21,8998.64
7,2025-01-22,8836.03
7,2025-01-29,8597.55
7,2025-01-30,8721.13
7,2025-01-31,9051.76
10,2025-01-02,3844.57
10,2025-01-03,3842.96
10,2025-01-04,3844.78
10,2025-01-05,3846.97
10,2025-01-06,3843.61
10,2025-01-07,3841.49
10,2025-01-08,3842.12
10,2025-01-09,3841.89
10,2025-01-10,3842.25
10,2025-01-11,3840.99
10,2025-01-12,3843.06
10,2025-01-13,3844.94
10,2025-01-14,3845.45
10,2025-01-15,3848.01
10,2025-01-16,3849.29
10,2025-01-17,3848.02
10,2025-01-18,3849.12
10,2025-01-19,3847.66
10,2025-01-20,3849.73
10,2025-01-21,3850.02
10,2025-01-22,3850.05
10,2025-01-23,3849.12
10,2025-01-24,3851.86
10,2025-01-25,6625.56
10,2025-01-26,6624.8
10,2025-01-27,6624.3
10,2025-01-28,6626.72
10,2025-01-29,6628.6
10,2025-01-30,6630.63
10,2025-01-31,6632.72
11,2025-01-02,7456.27
11,2025-01-03,7455.76
11,2025-01-04,7457.12
11,2025-01-05,7460.05
11,2025-01-06,7463.45
11,2025-01-07,7467.15
11,2025-01-08,7466.6
11,2025-01-09,9374.6
11,2025-01-10,9379.56
11,2025-01-11,9379.6
11,2025-01-12,9374.55
11,2025-01-13,9370.18
11,2025-01-14,9366.81
11,2025-01-15,9370.07
11,2025-01-16,9371.68
11,2025-01-17,9375.85
11,2025-01-18,9374.78
11,2025-01-19,9376.46
11,2025-01-20,9380.33
11,2025-01-21,9379.82
11,2025-01-22,9382.9
11,2025-01-23,9380.73
11,2025-01-24,9379.97
11,2025-01-25,9379.12
11,2025-01-26,9374.45
11,2025-01-27,9377.67
11,2025-01-28,9376.4
11,2025-01-29,9377.4
11,2025-01-30,9380.59
11,2025-01-31,9383.62
12,2025-01-02,10364.13
12,2025-01-03,10366.1
12,2025-01-04,10368.27
12,2025-01-05,10376.36
12,2025-01-06,10381.73
12,2025-01-07,10384.62
12,2025-01-08,10393.25
12,2025-01-09,10388.12
12,2025-01-10,10385.83
12,2025-01-11,10382.06
12,2025-01-12,10381.07
12,2025-01-13,10374.97
12,2025-01-14,10379.3
12,2025-01-15,10379.18
12,2025-01-16,10372.59
12,2025-01-17,10368.36
12,2025-01-18,10371.02
12,2025-01-19,11631.67
12,2025-01-20,11644.45
12,2025-01-21,11662.58
12,2025-01-22,11666.16
12,2025-01-23,11661.55
12,2025-01-24,11650.29
12,2025-01-25,11653.01
12,2025-01-26,11649.44
12,2025-01-27,11648.19
12,2025-01-28,11645.79
12,2025-01-29,11646.13
12,2025-01-30,11653.5
12,2025-01-31,11655.58
8,2025-01-03,21263.85
8,2025-01-06,21468.97
8,2025-01-07,21423.39
8,2025-01-13,21332.22
8,2025-01-14,20899.2
8,2025-01-20,25241.6
8,2025-01-21,25269.62
8,2025-01-22,25493.74
8,2025-01-29,25129.54
8,2025-01-30,24905.42
8,2025-01-31,25185.57
9,2025-01-03,11509.57
9,2025-01-06,11627.34
9,2025-01-07,11600.26
9,2025-01-13,11523.71
9,2025-01-14,11584.95
9,2025-01-20,14887.18
9,2025-01-21,14747.69
9,2025-01-22,14815.89
9,2025-01-29,14910.43
9,2025-01-30,15186.32
9,2025-01-31,15111.92
