ativo_id,data,preco_abertura,preco_fechamento,volume
1,2025-01-03,23.92,23.74,32743864200.0
1,2025-01-06,23.98,23.96,29002386800.0
1,2025-01-07,24.14,24.25,38118337700.0
1,2025-01-13,24.21,24.21,24133433500.0
1,2025-01-14,24.25,24.65,44182914400.0
1,2025-01-20,25.35,25.43,26719850100.0
1,2025-01-21,25.45,25.66,27362515800.0
1,2025-01-22,25.58,26.13,50063426300.0
1,2025-01-23,26.24,26.72,80577391700.0
1,2025-01-29,27.6,27.44,31850946600.0
1,2025-01-30,27.37,27.64,61804935400.0
1,2025-01-31,27.74,27.68,54646980500.0
2,2025-01-03,11.4,11.2,31095601000.0
2,2025-01-06,11.34,11.42,35012354100.0
2,2025-01-07,11.53,11.58,37049642000.0
2,2025-01-13,11.11,11.22,41089474000.0
2,2025-01-14,11.23,11.43,49275509900.0
2,2025-01-21,11.65,11.64,30258567900.0
2,2025-01-22,11.73,11.48,48878595900.0
2,2025-01-29,11.73,11.51,38760630900.0
2,2025-01-30,11.54,12.14,68568469300.0
2,2025-01-31,12.14,12.09,45780694500.0
3,2025-01-03,6.77,6.78,701050478.0
3,2025-01-06,6.87,6.76,792453150.0
3,2025-01-07,6.78,6.77,2090506335.0
3,2025-01-13,6.66,6.57,721445204.0
3,2025-01-14,6.46,6.39,901014456.0
3,2025-01-20,6.33,6.29,682341041.0
3,2025-01-21,6.29,6.38,552892370.0
3,2025-01-22,6.38,6.28,547741635.0
3,2025-01-29,6.18,6.13,411933205.0
3,2025-01-30,6.14,6.15,496394649.0
3,2025-01-31,6.16,6.21,370065467.0
4,2025-01-03,154.64,154.0,805246186.0
4,2025-01-06,154.5,152.75,654939397.0
4,2025-01-07,152.75,151.0,743508650.0
4,2025-01-13,150.7,150.43,662473543.0
4,2025-01-14,150.43,149.58,563706327.0
4,2025-01-20,149.5,149.8,812421319.0
4,2025-01-21,149.8,149.45,678431159.0
4,2025-01-22,149.76,150.01,486015234.0
4,2025-01-29,148.21,148.68,559097978.0
4,2025-01-30,148.75,149.9,610620145.0
4,2025-01-31,149.9,152.25,541837778.0
5,2025-01-03,9.28,9.31,1041476014.0
5,2025-01-06,9.33,9.37,1276406016.0
5,2025-01-07,9.37,9.44,2366644827.0
5,2025-01-13,9.35,9.2,1379545774.0
5,2025-01-14,9.26,9.25,1230735404.0
5,2025-01-20,9.16,9.09,1573209364.0
5,2025-01-21,9.1,9.1,1362499351.0
5,2025-01-22,9.12,9.07,1060524402.0
5,2025-01-29,9.07,9.07,1117887813.0
5,2025-01-30,9.08,9.14,1232493195.0
5,2025-01-31,9.16,9.21,1247867238.0
6,2025-01-03,36.88,36.38,84938900600.0
6,2025-01-06,36.6,36.21,86155316100.0
6,2025-01-07,36.55,36.98,139159941600.0
6,2025-01-13,37.3,37.07,85263228100.0
6,2025-01-14,37.11,36.82,107474852500.0
6,2025-01-21,37.1,37.3,87529079500.0
6,2025-01-22,37.36,37.09,81502826100.0
6,2025-01-23,37.12,36.83,98778592100.0
6,2025-01-29,37.2,36.9,67241608800.0
6,2025-01-30,37.04,37.39,115275361400.0
6,2025-01-31,37.39,37.69,140210144900.0
7,2025-01-03,87.28,87.0,166930005.0
7,2025-01-06,87.0,86.8,242695960.0
7,2025-01-07,87.0,88.9,487231334.0
7,2025-01-13,84.56,86.22,178251982.0
7,2025-01-14,85.2,86.03,182515686.0
7,2025-01-20,82.13,84.99,363364524.0
7,2025-01-21,84.98,83.01,429422971.0
7,2025-01-22,83.01,81.51,386960615.0
7,2025-01-29,79.2,79.31,249133595.0
7,2025-01-30,79.64,80.45,275248327.0
7,2025-01-31,80.45,83.5,304051128.0
8,2025-01-03,9.35,9.33,322211403.0
8,2025-01-06,9.33,9.42,448943940.0
8,2025-01-07,9.34,9.4,384994263.0
8,2025-01-13,9.49,9.36,322432792.0
8,2025-01-14,9.17,9.17,358565730.0
8,2025-01-20,9.0,9.01,668196317.0
8,2025-01-21,9.0,9.02,629966381.0
8,2025-01-22,9.02,9.1,364932726.0
8,2025-01-29,9.0,8.97,362042365.0
8,2025-01-30,8.98,8.89,540340220.0
8,2025-01-31,8.94,8.99,438876814.0
9,2025-01-03,98.45,97.73,1563338930.0
9,2025-01-06,98.53,98.73,1243329294.0
9,2025-01-07,98.73,98.5,1098904877.0
9,2025-01-13,98.19,97.85,1100923140.0
9,2025-01-14,97.85,98.37,1115029689.0
9,2025-01-20,95.06,96.05,1418648521.0
9,2025-01-21,96.27,95.15,1245176928.0
9,2025-01-22,95.4,95.59,1043321969.0
9,2025-01-29,96.01,96.2,922874296.0
9,2025-01-30,96.2,97.98,1167132548.0
9,2025-01-31,97.8,97.5,1615211628.0
