ativo_id,data,preco
1,2025-01-03,23.74
1,2025-01-06,23.96
1,2025-01-07,24.25
1,2025-01-13,24.21
1,2025-01-14,24.65
1,2025-01-20,25.43
1,2025-01-21,25.66
1,2025-01-22,26.13
1,2025-01-23,26.72
1,2025-01-29,27.44
1,2025-01-30,27.64
1,2025-01-31,27.68
2,2025-01-03,11.2
2,2025-01-06,11.42
2,2025-01-07,11.58
2,2025-01-13,11.22
2,2025-01-14,11.43
2,2025-01-21,11.64
2,2025-01-22,11.48
2,2025-01-29,11.51
2,2025-01-30,12.14
2,2025-01-31,12.09
3,2025-01-03,6.78
3,2025-01-06,6.76
3,2025-01-07,6.77
3,2025-01-13,6.57
3,2025-01-14,6.39
3,2025-01-20,6.29
3,2025-01-21,6.38
3,2025-01-22,6.28
3,2025-01-29,6.13
3,2025-01-30,6.15
3,2025-01-31,6.21
4,2025-01-03,154.0
4,2025-01-06,152.75
4,2025-01-07,151.0
4,2025-01-13,150.43
4,2025-01-14,149.58
4,2025-01-20,149.8
4,2025-01-21,149.45
4,2025-01-22,150.01
4,2025-01-29,148.68
4,2025-01-30,149.9
4,2025-01-31,152.25
5,2025-01-03,9.31
5,2025-01-06,9.37
5,2025-01-07,9.44
5,2025-01-13,9.2
5,2025-01-14,9.25
5,2025-01-20,9.09
5,2025-01-21,9.1
5,2025-01-22,9.07
5,2025-01-29,9.07
5,2025-01-30,9.14
5,2025-01-31,9.21
6,2025-01-03,36.38
6,2025-01-06,36.21
6,2025-01-07,36.98
6,2025-01-13,37.07
6,2025-01-14,36.82
6,2025-01-21,37.3
6,2025-01-22,37.09
6,2025-01-23,36.83
6,2025-01-29,36.9
6,2025-01-30,37.39
6,2025-01-31,37.69
7,2025-01-03,87.0
7,2025-01-06,86.8
7,2025-01-07,88.9
7,2025-01-13,86.22
7,2025-01-14,86.03
7,2025-01-20,84.99
7,2025-01-21,83.01
7,2025-01-22,81.51
7,2025-01-29,79.31
7,2025-01-30,80.45
7,2025-01-31,83.5
8,2025-01-03,9.33
8,2025-01-06,9.42
8,2025-01-07,9.4
8,2025-01-13,9.36
8,2025-01-14,9.17
8,2025-01-20,9.01
8,2025-01-21,9.02
8,2025-01-22,9.1
8,2025-01-29,8.97
8,2025-01-30,8.89
8,2025-01-31,8.99
9,2025-01-03,97.73
9,2025-01-06,98.73
9,2025-01-07,98.5
9,2025-01-13,97.85
9,2025-01-14,98.37
9,2025-01-20,96.05
9,2025-01-21,95.15
9,2025-01-22,95.59
9,2025-01-29,96.2
9,2025-01-30,97.98
9,2025-01-31,97.5
