transacao_id,carteira_id,ativo_id,data,tipo,quantidade,preco
1,1,1,2025-01-03,COMPRA,401.413,23.74
2,1,1,2025-01-17,REBALANCEAMENTO,0.0,25.43
3,2,2,2025-01-03,COMPRA,919.0332,11.2
4,2,2,2025-01-17,REBALANCEAMENTO,0.0,11.64
5,3,3,2025-01-03,COMPRA,1789.2288,6.78
6,3,3,2025-01-17,REBALANCEAMENTO,0.0,6.29
7,4,4,2025-01-03,COMPRA,72.9794,154.0
8,4,4,2025-01-17,REBALANCEAMENTO,0.0,149.8
9,5,5,2025-01-03,COMPRA,1206.4181,9.31
10,5,5,2025-01-17,REBALANCEAMENTO,0.0,9.09
11,6,6,2025-01-03,COMPRA,294.8026,36.38
12,6,6,2025-01-17,REBALANCEAMENTO,0.0,37.3
13,7,7,2025-01-03,COMPRA,133.0672,87.0
14,7,7,2025-01-17,REBALANCEAMENTO,0.0,84.99
15,8,8,2025-01-03,COMPRA,1235.9412,9.33
16,8,8,2025-01-17,REBALANCEAMENTO,0.0,9.01
17,9,9,2025-01-03,COMPRA,113.9601,97.73
18,9,9,2025-01-17,REBALANCEAMENTO,0.0,96.05
