carteira_id,carteira_definicao_id,ativo_id,quantidade_teorica,peso,valor_investido
1,1,1,537.2632,0.095,13211.42
2,1,2,940.0774,0.0769,10696.49
3,1,3,1759.866,0.0849,11810.77
4,1,4,40.7946,0.0443,6166.02
5,1,5,762.0286,0.0502,6987.46
6,1,6,335.6806,0.0879,12233.37
7,1,7,108.4043,0.0673,9364.92
8,1,8,2801.5098,0.1867,25970.91
9,1,9,154.9941,0.1084,15085.04
10,1,10,6.6112,0.0476,6618.18
11,1,11,9.3698,0.0673,9365.24
12,1,12,11.6227,0.0835,11619.4
13,2,1,655.9140,0.1500,15000.00
14,2,3,1326.2590,0.1000,10000.00
15,2,5,1243.7811,0.1200,12000.00
16,2,6,559.3307,0.1800,18000.00
17,2,10,25.0000,0.2500,25000.00
18,2,11,20.0000,0.2000,20000.00
19,3,2,961.1688,0.1800,18000.00
20,3,4,139.1370,0.2200,22000.00
21,3,6,621.5075,0.2000,20000.00
22,3,7,103.7041,0.1000,10000.00
23,3,8,1581.6655,0.1500,15000.00
24,3,9,140.7503,0.1500,15000.00
