carteira_id,data,valor_total
1,2025-01-03,9115.6
1,2025-01-06,9200.07
1,2025-01-07,9311.43
1,2025-01-13,9296.07
1,2025-01-14,9465.02
1,2025-01-20,9764.52
1,2025-01-21,9852.83
1,2025-01-22,10033.3
1,2025-01-23,14355.67
1,2025-01-29,14742.5
1,2025-01-30,14849.95
1,2025-01-31,14871.45
2,2025-01-03,6262.1
2,2025-01-06,6385.1
2,2025-01-07,6474.56
2,2025-01-13,6273.28
2,2025-01-14,6390.69
2,2025-01-21,10942.5
2,2025-01-22,10792.09
2,2025-01-29,10820.29
2,2025-01-30,11412.54
2,2025-01-31,11365.54
3,2025-01-03,8021.29
3,2025-01-06,7997.63
3,2025-01-07,8009.46
3,2025-01-13,11562.32
3,2025-01-14,11245.54
3,2025-01-20,11069.56
3,2025-01-21,11227.95
3,2025-01-22,11051.96
3,2025-01-29,10787.98
3,2025-01-30,10823.18
3,2025-01-31,10928.77
4,2025-01-03,1263.54
4,2025-01-06,1253.28
4,2025-01-07,1238.92
4,2025-01-13,6136.73
4,2025-01-14,6102.06
4,2025-01-20,6111.03
4,2025-01-21,6096.75
4,2025-01-22,6119.6
4,2025-01-29,6065.34
4,2025-01-30,6115.11
4,2025-01-31,6210.98
5,2025-01-03,2942.9
5,2025-01-06,2961.87
5,2025-01-07,2984.0
5,2025-01-13,2908.13
5,2025-01-14,2923.94
5,2025-01-20,2873.36
5,2025-01-21,2876.52
5,2025-01-22,2867.04
5,2025-01-29,6911.6
5,2025-01-30,6964.94
5,2025-01-31,7018.28
6,2025-01-03,10720.92
6,2025-01-06,10670.82
6,2025-01-07,10897.74
6,2025-01-13,10924.26
6,2025-01-14,10850.59
6,2025-01-21,10992.04
6,2025-01-22,10930.15
6,2025-01-23,10853.53
6,2025-01-29,12386.61
6,2025-01-30,12551.1
6,2025-01-31,12651.8
7,2025-01-03,6563.38
7,2025-01-06,6548.29
7,2025-01-07,6706.71
7,2025-01-13,6504.53
7,2025-01-14,6490.2
7,2025-01-20,9213.28
7,2025-01-21,8998.64
7,2025-01-22,8836.03
7,2025-01-29,8597.55
