ativo_id,data,preco
1,2025-01-03,23.74
1,2025-01-06,23.96
1,2025-01-07,24.25
1,2025-01-13,24.21
1,2025-01-14,24.65
1,2025-01-20,25.43
1,2025-01-21,25.66
1,2025-01-22,26.13
1,2025-01-23,26.72
1,2025-01-29,27.44
1,2025-01-30,27.64
1,2025-01-31,27.68
2,2025-01-03,11.2
2,2025-01-06,11.42
2,2025-01-07,11.58
2,2025-01-13,11.22
2,2025-01-14,11.43
2,2025-01-21,11.64
2,2025-01-22,11.48
2,2025-01-29,11.51
2,2025-01-30,12.14
2,2025-01-31,12.09
3,2025-01-03,6.78
3,2025-01-06,6.76
3,2025-01-07,6.77
3,2025-01-13,6.57
3,2025-01-14,6.39
3,2025-01-20,6.29
3,2025-01-21,6.38
3,2025-01-22,6.28
3,2025-01-29,6.13
3,2025-01-30,6.15
3,2025-01-31,6.21
4,2025-01-03,154.0
4,2025-01-06,152.75
4,2025-01-07,151.0
4,2025-01-13,150.43
4,2025-01-14,149.58
4,2025-01-20,149.8
4,2025-01-21,149.45
4,2025-01-22,150.01
4,2025-01-29,148.68
4,2025-01-30,149.9
4,2025-01-31,152.25
5,2025-01-03,9.31
5,2025-01-06,9.37
5,2025-01-07,9.44
5,2025-01-13,9.2
5,2025-01-14,9.25
5,2025-01-20,9.09
5,2025-01-21,9.1
5,2025-01-22,9.07
5,2025-01-29,9.07
5,2025-01-30,9.14
5,2025-01-31,9.21
6,2025-01-03,36.38
6,2025-01-06,36.21
6,2025-01-07,36.98
6,2025-01-13,37.07
6,2025-01-14,36.82
6,2025-01-21,37.3
6,2025-01-22,37.09
6,2025-01-23,36.83
6,2025-01-29,36.9
6,2025-01-30,37.39
6,2025-01-31,37.69
7,2025-01-03,87.0
7,2025-01-06,86.8
7,2025-01-07,88.9
7,2025-01-13,86.22
7,2025-01-14,86.03
7,2025-01-20,84.99
7,2025-01-21,83.01
7,2025-01-22,81.51
7,2025-01-29,79.31
7,2025-01-30,80.45
7,2025-01-31,83.5
10,2025-01-02,1000.2524
10,2025-01-03,999.8323
10,2025-01-04,1000.3074
10,2025-01-05,1000.8779
10,2025-01-06,1000.0016
10,2025-01-07,999.4505
10,2025-01-08,999.6143
10,2025-01-09,999.5562
10,2025-01-10,999.6478
10,2025-01-11,999.3214
10,2025-01-12,999.8607
10,2025-01-13,1000.3495
10,2025-01-14,1000.4826
10,2025-01-15,1001.1465
10,2025-01-16,1001.4807
10,2025-01-17,1001.1505
10,2025-01-18,1001.4352
10,2025-01-19,1001.0553
10,2025-01-20,1001.595
10,2025-01-21,1001.6702
10,2025-01-22,1001.6778
10,2025-01-23,1001.4369
10,2025-01-24,1002.1492
10,2025-01-25,1002.172
10,2025-01-26,1002.0576
10,2025-01-27,1001.9814
10,2025-01-28,1002.3482
10,2025-01-29,1002.6316
10,2025-01-30,1002.9388
10,2025-01-31,1003.2551
11,2025-01-02,999.2586
11,2025-01-03,999.1912
11,2025-01-04,999.3724
11,2025-01-05,999.7653
11,2025-01-06,1000.2208
11,2025-01-07,1000.7176
11,2025-01-08,1000.6431
11,2025-01-09,1000.5119
11,2025-01-10,1001.0411
11,2025-01-11,1001.0455
11,2025-01-12,1000.5071
11,2025-01-13,1000.0402
11,2025-01-14,999.6805
11,2025-01-15,1000.0289
11,2025-01-16,1000.2002
11,2025-01-17,1000.6455
11,2025-01-18,1000.5318
11,2025-01-19,1000.7111
11,2025-01-20,1001.1242
11,2025-01-21,1001.0695
11,2025-01-22,1001.3982
11,2025-01-23,1001.167
11,2025-01-24,1001.0853
11,2025-01-25,1000.9944
11,2025-01-26,1000.496
11,2025-01-27,1000.8396
11,2025-01-28,1000.7048
11,2025-01-29,1000.8111
11,2025-01-30,1001.1518
11,2025-01-31,1001.4754
12,2025-01-02,999.5883
12,2025-01-03,999.7778
12,2025-01-04,999.9878
12,2025-01-05,1000.7673
12,2025-01-06,1001.2853
12,2025-01-07,1001.5641
12,2025-01-08,1002.397
12,2025-01-09,1001.9015
12,2025-01-10,1001.6812
12,2025-01-11,1001.3173
12,2025-01-12,1001.2223
12,2025-01-13,1000.6332
12,2025-01-14,1001.051
12,2025-01-15,1001.0399
12,2025-01-16,1000.4038
12,2025-01-17,999.9959
12,2025-01-18,1000.2526
12,2025-01-19,1000.7718
12,2025-01-20,1001.8711
12,2025-01-21,1003.4309
12,2025-01-22,1003.7392
12,2025-01-23,1003.3429
12,2025-01-24,1002.3737
12,2025-01-25,1002.6081
12,2025-01-26,1002.3008
12,2025-01-27,1002.1929
12,2025-01-28,1001.9864
12,2025-01-29,1002.016
12,2025-01-30,1002.6503
12,2025-01-31,1002.8293
8,2025-01-03,9.33
8,2025-01-06,9.42
8,2025-01-07,9.4
8,2025-01-13,9.36
8,2025-01-14,9.17
8,2025-01-20,9.01
8,2025-01-21,9.02
8,2025-01-22,9.1
8,2025-01-29,8.97
8,2025-01-30,8.89
8,2025-01-31,8.99
9,2025-01-03,97.73
9,2025-01-06,98.73
9,2025-01-07,98.5
9,2025-01-13,97.85
9,2025-01-14,98.37
9,2025-01-20,96.05
9,2025-01-21,95.15
9,2025-01-22,95.59
9,2025-01-29,96.2
9,2025-01-30,97.98
9,2025-01-31,97.5
