simulacao_id,ativo_id,novo_valor,impacto_total
1,1,15615.02,743.57
1,2,11933.81,568.28
1,3,11475.21,546.44
1,4,6521.53,310.55
1,5,7369.2,350.91
1,6,13284.39,632.59
1,7,9504.35,452.59
1,8,26444.85,1259.28
1,9,15867.52,755.6
1,10,6964.36,331.64
1,11,9852.81,469.18
1,12,12238.36,582.78
2,1,15465.00,465.00
2,3,10320.00,320.00
2,5,12380.00,380.00
2,6,18585.00,585.00
2,10,25550.00,550.00
2,11,20390.00,390.00
3,2,17100.00,-900.00
3,4,20900.00,-1100.00
3,6,19000.00,-1000.00
3,7,9450.00,-550.00
3,8,14200.00,-800.00
3,9,14100.00,-900.00
