transacao_id,carteira_id,ativo_id,data,tipo,quantidade,preco
1,1,1,2025-01-03,COMPRA,383.9764,23.74
2,1,1,2025-01-23,COMPRA,153.2868,26.72
3,1,1,2025-01-17,REBALANCEAMENTO,0.0,25.43
4,2,2,2025-01-03,COMPRA,559.1159,11.2
5,2,2,2025-01-18,COMPRA,380.9615,11.64
6,2,2,2025-01-17,REBALANCEAMENTO,0.0,11.64
7,3,3,2025-01-03,COMPRA,1183.0818,6.78
8,3,3,2025-01-12,COMPRA,576.7842,6.57
9,3,3,2025-01-17,REBALANCEAMENTO,0.0,6.29
10,4,4,2025-01-03,COMPRA,8.2048,154.0
11,4,4,2025-01-10,COMPRA,32.5898,150.43
12,4,4,2025-01-17,REBALANCEAMENTO,0.0,149.8
13,5,5,2025-01-03,COMPRA,316.1015,9.31
14,5,5,2025-01-24,COMPRA,445.9271,9.07
15,5,5,2025-01-17,REBALANCEAMENTO,0.0,9.09
16,6,6,2025-01-03,COMPRA,294.6927,36.38
17,6,6,2025-01-26,COMPRA,40.9879,36.9
18,6,6,2025-01-17,REBALANCEAMENTO,0.0,37.3
19,7,7,2025-01-03,COMPRA,75.4411,87.0
20,7,7,2025-01-19,COMPRA,32.9632,84.99
21,7,7,2025-01-17,REBALANCEAMENTO,0.0,84.99
22,8,8,2025-01-03,COMPRA,2279.0836,9.33
23,8,8,2025-01-16,COMPRA,522.4262,9.01
24,8,8,2025-01-17,REBALANCEAMENTO,0.0,9.01
25,9,9,2025-01-03,COMPRA,117.7691,97.73
26,9,9,2025-01-17,COMPRA,37.225,96.05
27,9,9,2025-01-17,REBALANCEAMENTO,0.0,96.05
28,10,10,2025-01-02,COMPRA,3.8436,1000.2524
29,10,10,2025-01-25,COMPRA,2.7676,1002.172
30,10,10,2025-01-17,REBALANCEAMENTO,0.0,1001.1505
31,11,11,2025-01-02,COMPRA,7.4618,999.2586
32,11,11,2025-01-09,COMPRA,1.908,1000.5119
33,11,11,2025-01-17,REBALANCEAMENTO,0.0,1000.6455
34,12,12,2025-01-02,COMPRA,10.3684,999.5883
35,12,12,2025-01-19,COMPRA,1.2543,1000.7718
36,12,12,2025-01-17,REBALANCEAMENTO,0.0,999.9959
37,13,1,2025-02-03,COMPRA,655.9140,22.90
38,13,1,2025-02-14,COMPRA,65.5914,23.10
39,13,1,2025-02-17,REBALANCEAMENTO,0.0,23.05
40,14,3,2025-02-03,COMPRA,1326.2590,7.55
41,14,3,2025-02-14,COMPRA,132.6259,7.62
42,14,3,2025-02-17,REBALANCEAMENTO,0.0,7.60
43,15,5,2025-02-03,COMPRA,1243.7811,9.70
44,15,5,2025-02-14,COMPRA,124.3781,9.78
45,15,5,2025-02-17,REBALANCEAMENTO,0.0,9.74
46,16,6,2025-02-03,COMPRA,559.3307,32.25
47,16,6,2025-02-14,COMPRA,55.9331,32.80
48,16,6,2025-02-17,REBALANCEAMENTO,0.0,32.60
49,17,10,2025-02-03,COMPRA,25.0000,1000.50
50,17,10,2025-02-14,COMPRA,2.5000,1001.20
51,17,10,2025-02-17,REBALANCEAMENTO,0.0,1001.00
52,18,11,2025-02-03,COMPRA,20.0000,1000.40
53,18,11,2025-02-14,COMPRA,2.0000,1000.90
54,18,11,2025-02-17,REBALANCEAMENTO,0.0,1000.70
55,19,2,2025-02-03,COMPRA,961.1688,18.80
56,19,2,2025-02-14,COMPRA,96.1169,18.95
57,19,2,2025-02-17,REBALANCEAMENTO,0.0,18.88
58,20,4,2025-02-03,COMPRA,139.1370,158.80
59,20,4,2025-02-14,COMPRA,13.9137,159.40
60,20,4,2025-02-17,REBALANCEAMENTO,0.0,159.10
61,21,6,2025-02-03,COMPRA,621.5075,32.40
62,21,6,2025-02-14,COMPRA,62.1508,32.95
63,21,6,2025-02-17,REBALANCEAMENTO,0.0,32.70
64,22,7,2025-02-03,COMPRA,103.7041,96.80
65,22,7,2025-02-14,COMPRA,10.3704,97.25
66,22,7,2025-02-17,REBALANCEAMENTO,0.0,97.05
67,23,8,2025-02-03,COMPRA,1581.6655,9.55
68,23,8,2025-02-14,COMPRA,158.1666,9.62
69,23,8,2025-02-17,REBALANCEAMENTO,0.0,9.60
70,24,9,2025-02-03,COMPRA,140.7503,107.10
71,24,9,2025-02-14,COMPRA,14.0750,107.65
72,24,9,2025-02-17,REBALANCEAMENTO,0.0,107.40
